date,equity
2025-01-02,1000000.0
2025-01-03,1000000.0
2025-01-06,1000000.0
2025-01-07,1000000.0
2025-01-08,999875.1435
2025-01-10,1004404.9301666666
2025-01-13,1010234.3682619048
2025-01-14,1015890.7168333334
2025-01-15,1014797.4196904763
2025-01-16,1014109.8496904763
2025-01-17,1020390.9585793652
2025-01-21,1024338.2829678572
2025-01-22,1029125.007279762
2025-01-23,1013112.723986508
2025-01-24,1007214.3712031748
2025-01-27,1021083.9458539684
2025-01-28,1021463.9810047621
2025-01-29,1016574.897196032
2025-01-30,1016738.3194182542
2025-01-31,1017990.7575134923
2025-02-03,1015402.3534500002
2025-02-04,1010543.874323016
2025-02-05,1012755.1389261906
2025-02-06,1014786.5296126985
2025-02-07,1016182.8696126986
2025-02-10,1015040.3306444447
2025-02-11,1015034.3631166669
2025-02-12,1012082.0235928573
2025-02-13,1008854.6428884923
2025-02-14,1028486.0156563495
2025-02-18,1033677.2157992068
2025-02-19,1030768.376244048
2025-02-20,1039621.722871032
2025-02-21,1038310.777529762
2025-02-24,1039654.1038075399
2025-02-25,1049170.0553948416
2025-02-26,1048603.072458334
2025-02-27,1042578.4283948417
2025-02-28,1038472.2718234132
2025-03-03,1041519.8757519847
2025-03-04,1040442.3939662704
2025-03-05,1040094.6881412704
2025-03-06,1049842.4191174607
2025-03-07,1056893.0274746036
2025-03-10,1064690.3809269844
2025-03-11,1060462.0686079368
2025-03-12,1084747.2111158734
2025-03-13,1080497.3943079372
2025-03-14,1083872.9650142866
2025-03-17,1076221.6069255958
2025-03-18,1069253.3095898812
2025-03-19,1067672.9101755954
2025-03-20,1068251.2727255954
2025-03-21,1068251.2727255954
2025-03-24,1068251.2727255954
2025-03-25,1067851.3979755954
2025-03-26,1082139.3088994047
2025-03-27,1088668.9019248015
2025-03-28,1090614.274226389
2025-03-31,1091178.6632343254
2025-04-01,1093395.6399486107
2025-04-02,1118188.890723214
2025-04-03,1110308.849273214
2025-04-04,1110099.3026065473
2025-04-07,1106526.9426065471
2025-04-08,1109488.089831547
2025-04-09,1121284.506141071
2025-04-10,1139887.7400855152
2025-04-11,1150055.176799801
2025-04-14,1163816.4298077375
2025-04-15,1163381.9228632932
2025-04-16,1162798.3773799594
2025-04-17,1166876.9033799595
2025-04-21,1158326.6900466264
2025-04-22,1157973.7220466265
2025-04-23,1157828.9911966266
2025-04-24,1158107.8388124993
2025-04-25,1154825.362112499
2025-04-28,1153640.2730069435
2025-04-29,1152900.4332609118
2025-04-30,1158742.9505894834
2025-05-01,1151724.0319644834
2025-05-02,1151436.3334644835
2025-05-05,1197983.385845436
2025-05-06,1207228.4128295628
2025-05-07,1201754.8804029755
2025-05-08,1196616.9023077374
2025-05-09,1201958.9376509914
2025-05-12,1209366.3890398806
2025-05-13,1216014.9891406742
2025-05-14,1203552.3369593255
2025-05-15,1189593.7239172624
2025-05-16,1176032.6321105957
2025-05-19,1178335.1760498816
2025-05-20,1179635.9329998817
2025-05-21,1179488.4937498816
