ts,symbol,side,qty,price,cost
2025-01-08,FUBO,SELL,740,67.49,124.8565
2025-01-16,BOIL,SELL,340,149.0,126.65
2025-01-21,MSTX,SELL,80,637.67,127.534
2025-01-21,MARA,SELL,2497,20.51,128.033675
2025-01-22,OKLO,SELL,1586,32.43,128.58495
2025-01-23,BOIL,BUY,340,140.44,119.374
2025-01-23,MARA,BUY,2497,20.51,128.033675
2025-01-23,NNE,SELL,1349,37.54,126.60365
2025-01-24,FUBO,BUY,740,47.16,87.246
2025-01-24,OKLO,BUY,1586,39.55,156.81575
2025-01-24,CLEU,SELL,89,560.32,124.6712
2025-01-28,CLEU,BUY,89,588.0,130.83
2025-01-29,NNE,BUY,1349,37.54,126.60365
2025-02-03,HIMS,SELL,1322,38.4,126.912
2025-02-05,HIMS,BUY,1322,42.0,138.81
2025-02-06,TEM,SELL,710,71.39,126.71725
2025-02-10,SMCI,SELL,1335,38.0,126.825
2025-02-11,TEM,BUY,710,71.39,126.71725
2025-02-13,AIFF,SELL,3011,16.75,126.085625
2025-02-14,SMCI,BUY,1335,42.94,143.31224999999998
2025-02-14,TEM,SELL,585,87.77,128.363625
2025-02-18,MSTX,BUY,80,432.45,86.49
2025-02-19,SMCX,SELL,221,233.21,128.848525
2025-02-19,SMCI,SELL,873,59.04,128.8548
2025-02-21,SMCX,BUY,221,245.6,135.694
2025-02-21,SMCI,BUY,873,61.0,133.1325
2025-02-26,TSLQ,SELL,455,115.09,130.914875
2025-02-26,TSLZ,SELL,668,78.48,131.0616
2025-02-26,MSTZ,SELL,1803,29.07,131.033025
2025-02-28,AIFF,BUY,3011,4.57,34.400675
2025-02-28,TSLQ,BUY,455,130.49,148.432375
2025-02-28,TSLZ,BUY,668,88.89,148.4463
2025-02-28,MSTZ,BUY,1803,29.82,134.41365
2025-03-05,GRRR,SELL,1317,39.49,130.020825
2025-03-11,TSLQ,SELL,272,194.44,132.2192
2025-03-11,TSLZ,SELL,400,132.44,132.44
2025-03-13,GRRR,BUY,1317,28.86,95.02155
2025-03-17,TEM,BUY,585,46.805,68.4523125
2025-03-17,QBTS,SELL,4932,10.91,134.5203
2025-03-18,TSLQ,BUY,272,171.42,116.5656
2025-03-18,TSLZ,BUY,400,116.87,116.87
2025-03-18,QUBT,SELL,6473,8.26,133.66745
2025-03-19,QBTS,BUY,4932,10.94,134.89019999999996
2025-03-20,QUBT,BUY,6473,8.26,133.66745
2025-03-25,TSLL,SELL,4936,10.82,133.5188
2025-03-25,TEM,SELL,878,60.77,133.39015000000003
2025-03-25,APP,SELL,152,349.91,132.96580000000003
2025-03-27,TSLL,BUY,4936,10.82,133.5188
2025-03-31,UVXY,SELL,428,127.45,136.3715
2025-04-01,MLGO,SELL,56,966.45,135.303
2025-04-02,APP,BUY,152,273.33,103.8654
2025-04-03,TEM,BUY,878,45.41,99.67494999999998
2025-04-03,UVXY,BUY,428,137.95,147.6065
2025-04-08,YANG,SELL,891,62.21,138.572775
2025-04-09,UVIX,SELL,28,1947.0,136.29
2025-04-16,YANG,BUY,891,45.46,101.26215
2025-04-17,UVIX,BUY,28,1126.2,78.834
2025-04-22,MLGO,BUY,56,361.2,50.568
2025-04-23,BITX,SELL,1466,39.49,144.73085
2025-04-24,TEM,SELL,1134,51.04,144.6984
