symbol,side,entry_ts,exit_ts,entry_px,exit_px,qty,gross_pnl,cost,net_pnl,return_pct,hold_days
BOIL,SHORT,2025-01-16,2025-01-23,149.0,140.44,340,2910.4000000000005,246.024,2664.3760000000007,5.744966442953025,7.0
MARA,SHORT,2025-01-21,2025-01-23,20.51,20.51,2497,-0.0,256.06735,-256.06735,0.0,2.0
FUBO,SHORT,2025-01-08,2025-01-24,67.49,47.16,740,15044.199999999999,212.1025,14832.097499999998,30.12298118239739,16.0
OKLO,SHORT,2025-01-22,2025-01-24,32.43,39.55,1586,-11292.319999999996,285.40070000000003,-11577.720699999996,-21.95497995683009,2.0
CLEU,SHORT,2025-01-24,2025-01-28,560.32,588.0,89,-2463.5199999999954,255.5012,-2719.0211999999956,-4.9400342661336305,4.0
NNE,SHORT,2025-01-23,2025-01-29,37.54,37.54,1349,-0.0,253.2073,-253.2073,0.0,6.0
HIMS,SHORT,2025-02-03,2025-02-05,38.4,42.0,1322,-4759.200000000002,265.722,-5024.922000000001,-9.375,2.0
TEM,SHORT,2025-02-06,2025-02-11,71.39,71.39,710,-0.0,253.4345,-253.4345,0.0,5.0
SMCI,SHORT,2025-02-10,2025-02-14,38.0,42.94,1335,-6594.899999999997,270.13725,-6865.037249999997,-12.99999999999999,4.0
MSTX,SHORT,2025-01-21,2025-02-18,637.67,432.45,80,16417.6,214.024,16203.576,32.182790471560516,28.0
SMCX,SHORT,2025-02-19,2025-02-21,233.21,245.6,221,-2738.189999999997,264.54252499999996,-3002.7325249999967,-5.312808198619257,2.0
SMCI,SHORT,2025-02-19,2025-02-21,59.04,61.0,873,-1711.0800000000008,261.9873,-1973.0673000000008,-3.3197831978319714,2.0
AIFF,SHORT,2025-02-13,2025-02-28,16.75,4.57,3011,36673.979999999996,160.4863,36513.4937,72.71641791044776,15.0
TSLQ,SHORT,2025-02-26,2025-02-28,115.09,130.49,455,-7007.000000000003,279.34725000000003,-7286.3472500000025,-13.38083239204102,2.0
TSLZ,SHORT,2025-02-26,2025-02-28,78.48,88.89,668,-6953.879999999997,279.5079,-7233.387899999997,-13.26452599388379,2.0
MSTZ,SHORT,2025-02-26,2025-02-28,29.07,29.82,1803,-1352.25,265.446675,-1617.6966750000001,-2.579979360165119,2.0
GRRR,SHORT,2025-03-05,2025-03-13,39.49,28.86,1317,13999.710000000003,225.042375,13774.667625000002,26.918207141048367,8.0
TEM,SHORT,2025-02-14,2025-03-17,87.77,46.805,585,23964.524999999998,196.81593750000002,23767.7090625,46.6731229349436,31.0
TSLZ,SHORT,2025-03-11,2025-03-18,132.44,116.87,400,6227.999999999997,249.31,5978.689999999997,11.756266988825125,7.0
TSLQ,SHORT,2025-03-11,2025-03-18,194.44,171.42,272,6261.440000000002,248.78480000000002,6012.655200000002,11.839127751491462,7.0
QBTS,SHORT,2025-03-17,2025-03-19,10.91,10.94,4932,-147.95999999999685,269.41049999999996,-417.3704999999968,-0.274977085242889,2.0
QUBT,SHORT,2025-03-18,2025-03-20,8.26,8.26,6473,-0.0,267.3349,-267.3349,0.0,2.0
TSLL,SHORT,2025-03-25,2025-03-27,10.82,10.82,4936,-0.0,267.0376,-267.0376,0.0,2.0
APP,SHORT,2025-03-25,2025-04-02,349.91,273.33,152,11640.160000000007,236.83120000000002,11403.328800000007,21.885627732845602,8.0
TEM,SHORT,2025-03-25,2025-04-03,60.77,45.41,878,13486.080000000005,233.06510000000003,13253.014900000006,25.275629422412383,9.0
UVXY,SHORT,2025-03-31,2025-04-03,127.45,137.95,428,-4493.999999999994,283.978,-4777.977999999994,-8.238524911730071,3.0
YANG,SHORT,2025-04-08,2025-04-16,62.21,45.46,891,14924.25,239.834925,14684.415075,26.924931683009156,8.0
UVIX,SHORT,2025-04-09,2025-04-17,1947.0,1126.2,28,22982.399999999998,215.124,22767.275999999998,42.15716486902927,8.0
MLGO,SHORT,2025-04-01,2025-04-22,966.45,361.2,56,33894.0,185.87099999999998,33708.129,62.6261058513115,21.0
BITX,SHORT,2025-04-23,2025-04-25,39.49,39.74,1466,-366.5,290.37795,-656.87795,-0.6330716637123368,2.0
CEP,SHORT,2025-04-28,2025-04-30,32.5,32.5,1775,-0.0,288.4375,-288.4375,0.0,2.0
XXI,SHORT,2025-04-28,2025-04-30,32.5,32.5,1775,-0.0,288.4375,-288.4375,0.0,2.0
SOXL,SHORT,2025-04-25,2025-05-01,12.32,12.49,4687,-796.7899999999996,290.711175,-1087.5011749999996,-1.379870129870131,6.0
TSLL,SHORT,2025-04-28,2025-05-01,10.13,10.13,5694,-0.0,288.4011,-288.4011,0.0,3.0
TEM,SHORT,2025-04-24,2025-05-01,51.04,53.5,1134,-2789.640000000001,296.3709,-3086.0109000000007,-4.81974921630095,7.0
HIMS,SHORT,2025-05-07,2025-05-09,50.95,50.95,1179,-0.0,300.35025,-300.35025,0.0,2.0
PONY,SHORT,2025-05-09,2025-05-13,17.7,19.05,3395,-4583.250000000005,311.915625,-4895.165625000004,-7.6271186440677985,4.0
NBIS,SHORT,2025-05-13,2025-05-15,34.34,35.07,1771,-1292.8299999999945,307.312775,-1600.1427749999943,-2.125800815375656,2.0
ETHU,SHORT,2025-05-13,2025-05-15,61.57,61.94,987,-365.1899999999975,304.76092500000004,-669.9509249999976,-0.6009420172161661,2.0
TSLL,SHORT,2025-05-13,2025-05-15,12.47,13.76,4876,-6290.039999999995,319.7437,-6609.783699999995,-10.344827586206895,2.0
CEP,SHORT,2025-05-02,2025-05-16,56.97,33.8,1010,23401.7,229.19425,23172.50575,40.67052834825346,14.0
XXI,SHORT,2025-05-02,2025-05-16,56.97,33.8,1010,23401.7,229.19425,23172.50575,40.67052834825346,14.0
ASST,SHORT,2025-05-09,2025-05-16,163.7,124.2,367,14496.499999999995,264.14824999999996,14232.351749999994,24.12950519242516,7.0
ACHR,SHORT,2025-05-14,2025-05-16,11.49,12.8399,5240,-7073.476,318.72168999999997,-7392.19769,-11.748476936466501,2.0
TSLT,SHORT,2025-05-14,2025-05-16,20.25,20.62,2973,-1100.010000000003,303.766275,-1403.776275000003,-1.8271604938271624,2.0
SMCI,SHORT,2025-05-14,2025-05-16,45.925,45.925,1310,-0.0,300.80875,-300.80875,0.0,2.0
CONL,SHORT,2025-05-14,2025-05-16,28.22,28.22,2132,-0.0,300.8252,-300.8252,0.0,2.0
OKLO,SHORT,2025-05-14,2025-05-16,34.55,38.53,1741,-6929.180000000007,318.0807,-7247.260700000006,-11.519536903039086,2.0
SMR,SHORT,2025-05-15,2025-05-19,23.63,23.63,2517,-0.0,297.38355,-297.38355,0.0,4.0
SOXL,SHORT,2025-05-13,2025-05-20,17.58,17.58,3459,-0.0,304.04609999999997,-304.04609999999997,0.0,7.0
QBTS,SHORT,2025-05-21,2025-05-23,17.3,17.905,3409,-2062.4450000000015,300.0346125,-2362.4796125000016,-3.497109826589595,2.0
LEU,SHORT,2025-05-28,2025-06-03,131.7,135.47,446,-1681.4200000000046,297.89455,-1979.3145500000046,-2.862566438876235,6.0
SMR,SHORT,2025-05-28,2025-06-09,36.59,35.1,1608,2395.9200000000033,288.1938,2107.7262000000032,4.072150860890956,12.0
APLD,SHORT,2025-06-05,2025-06-09,13.97,14.52,4236,-2329.7999999999956,301.70910000000003,-2631.5090999999957,-3.937007874015741,4.0
