date,equity
2025-01-02,1000000.0
2025-01-03,1000000.0
2025-01-06,1000000.0
2025-01-07,1000000.0
2025-01-08,999001.148
2025-01-10,1003530.9346666667
2025-01-13,1009360.3727619048
2025-01-14,1015016.7213333334
2025-01-15,1013923.4241904763
2025-01-16,1012349.3041904764
2025-01-17,1018630.4130793653
2025-01-21,1020791.2249428573
2025-01-22,1024676.2713666669
2025-01-23,1006091.2002873019
2025-01-24,997675.5644571433
2025-01-27,1011455.3502825401
2025-01-28,1010932.0363222224
2025-01-29,1005184.7333634923
2025-01-30,1005348.1555857145
2025-01-31,1006600.5936809526
2025-02-03,1003135.3256174605
2025-02-04,998329.0947047621
2025-02-05,999583.5393079367
2025-02-06,1000740.7594444446
2025-02-07,1002115.7220158731
2025-02-10,1000094.1763333334
2025-02-11,999252.8398269841
2025-02-12,996320.3271603175
2025-02-13,992273.4960809525
2025-02-14,1009684.5862111112
2025-02-18,1014183.0389650794
2025-02-19,1009559.558836508
2025-02-20,1018268.3447968254
2025-02-21,1015157.8349317461
2025-02-24,1016481.5259555556
2025-02-25,1025839.8866698412
2025-02-26,1022600.4719777779
2025-02-27,1016755.432493651
2025-02-28,1009554.7745952382
2025-03-03,1012550.2827301588
2025-03-04,1011491.219436508
2025-03-05,1010266.311547619
2025-03-06,1019766.9660714286
2025-03-07,1026617.698373016
2025-03-10,1034221.0509523811
2025-03-11,1028311.5045428573
2025-03-12,1051873.5108761906
2025-03-13,1047125.6898166665
2025-03-14,1050363.8198722217
2025-03-17,1041558.6013277773
2025-03-18,1032307.3722420629
2025-03-19,1029863.4247706344
2025-03-20,1029518.1487706344
2025-03-21,1029518.1487706344
2025-03-24,1029518.1487706344
2025-03-25,1026438.7683706344
2025-03-26,1040196.5958928566
2025-03-27,1045556.4049817454
2025-03-28,1047435.8890611104
2025-03-31,1047060.1574738089
2025-04-01,1048277.3919341263
2025-04-02,1071475.5999293644
2025-04-03,1062253.472300793
2025-04-04,1062051.4094436502
2025-04-07,1058606.6337293645
2025-04-08,1060534.34684365
2025-04-09,1070912.76402619
2025-04-10,1088855.4271293648
2025-04-11,1098621.7121928572
2025-04-14,1111880.392565873
2025-04-15,1111466.1869706349
2025-04-16,1110240.4707992065
2025-04-17,1113641.2056563492
2025-04-21,1105396.3570849206
2025-04-22,1104714.6610849206
2025-04-23,1103610.5206849207
2025-04-24,1102910.935837302
2025-04-25,1097847.9565960323
2025-04-28,1093842.8938388892
2025-04-29,1093141.9716246035
2025-04-30,1096777.7730484128
2025-05-01,1087157.3706484127
2025-05-02,1084984.5348484127
2025-05-05,1128927.71746746
2025-05-06,1137655.57215
2025-05-07,1131497.897618254
2025-05-08,1126648.3452531747
2025-05-09,1128724.762118254
2025-05-12,1135717.057364286
2025-05-13,1136901.7201039686
2025-05-14,1120332.4284023813
2025-05-15,1103061.8210880957
2025-05-16,1083413.631544826
2025-05-19,1084594.9393733977
2025-05-20,1084816.7605733976
2025-05-21,1083732.0505733977
