ts,symbol,side,qty,price,cost
2025-01-08,FUBO,SELL,740,67.49,998.852
2025-01-16,BOIL,SELL,340,149.0,1013.2
2025-01-21,MSTX,SELL,80,637.67,1020.272
2025-01-21,MARA,SELL,2491,20.51,1021.8082
2025-01-22,OKLO,SELL,1581,32.43,1025.4366
2025-01-23,BOIL,BUY,340,140.44,954.992
2025-01-23,MARA,BUY,2491,20.51,1021.8082
2025-01-23,NNE,SELL,1341,37.54,1006.8228
2025-01-24,FUBO,BUY,740,47.16,697.968
2025-01-24,OKLO,BUY,1581,39.55,1250.571
2025-01-24,CLEU,SELL,89,560.32,997.3696
2025-01-28,CLEU,BUY,89,588.0,1046.64
2025-01-29,NNE,BUY,1341,37.54,1006.8228
2025-02-03,HIMS,SELL,1307,38.4,1003.776
2025-02-05,HIMS,BUY,1307,42.0,1097.88
2025-02-06,TEM,SELL,701,71.39,1000.8878
2025-02-10,SMCI,SELL,1317,38.0,1000.92
2025-02-11,TEM,BUY,701,71.39,1000.8878
2025-02-13,AIFF,SELL,2964,16.75,992.94
2025-02-14,SMCI,BUY,1317,42.94,1131.0396
2025-02-14,TEM,SELL,575,87.77,1009.355
2025-02-18,MSTX,BUY,80,432.45,691.92
2025-02-19,SMCX,SELL,216,233.21,1007.4672
2025-02-19,SMCI,SELL,855,59.04,1009.584
2025-02-21,SMCX,BUY,216,245.6,1060.992
2025-02-21,SMCI,BUY,855,61.0,1043.1
2025-02-26,TSLQ,SELL,445,115.09,1024.301
2025-02-26,TSLZ,SELL,652,78.48,1023.3792
2025-02-26,MSTZ,SELL,1760,29.07,1023.264
2025-02-28,AIFF,BUY,2964,4.57,270.90960000000007
2025-02-28,TSLQ,BUY,445,130.49,1161.361
2025-02-28,TSLZ,BUY,652,88.89,1159.1256
2025-02-28,MSTZ,BUY,1760,29.82,1049.664
2025-03-05,GRRR,SELL,1280,39.49,1010.944
2025-03-11,TSLQ,SELL,264,194.44,1026.6432
2025-03-11,TSLZ,SELL,388,132.44,1027.7344
2025-03-13,GRRR,BUY,1280,28.86,738.8160000000001
2025-03-17,TEM,BUY,575,46.805,538.2575
2025-03-17,QBTS,SELL,4778,10.91,1042.5596
2025-03-18,TSLQ,BUY,264,171.42,905.0976
2025-03-18,TSLZ,BUY,388,116.87,906.9112000000002
2025-03-18,QUBT,SELL,6255,8.26,1033.326
2025-03-19,QBTS,BUY,4778,10.94,1045.4264
2025-03-20,QUBT,BUY,6255,8.26,1033.326
2025-03-25,TSLL,SELL,4757,10.82,1029.4148
2025-03-25,TEM,SELL,846,60.77,1028.2284000000002
2025-03-25,APP,SELL,146,349.91,1021.7372
2025-03-27,TSLL,BUY,4757,10.82,1029.4148
2025-03-31,UVXY,SELL,411,127.45,1047.639
2025-04-01,MLGO,SELL,54,966.45,1043.766
2025-04-02,APP,BUY,146,273.33,798.1236
2025-04-03,TEM,BUY,846,45.41,768.3372
2025-04-03,UVXY,BUY,411,137.95,1133.949
2025-04-08,YANG,SELL,853,62.21,1061.3026
2025-04-09,UVIX,SELL,27,1947.0,1051.38
2025-04-16,YANG,BUY,853,45.46,775.5475999999999
2025-04-17,UVIX,BUY,27,1126.2,608.148
2025-04-22,MLGO,BUY,54,361.2,390.096
2025-04-23,BITX,SELL,1398,39.49,1104.1404
2025-04-24,TEM,SELL,1081,51.04,1103.4848
2025-04-25,BITX,BUY,1398,39.74,1111.1304
2025-04-25,SOXL,SELL,4460,12.32,1098.944
2025-04-28,CEP,SELL,1687,32.5,1096.55
2025-04-28,XXI,SELL,1686,32.5,1095.9
2025-04-28,TSLL,SELL,5404,10.13,1094.8504
2025-04-30,CEP,BUY,1687,32.5,1096.55
2025-04-30,XXI,BUY,1686,32.5,1095.9
2025-05-01,TEM,BUY,1081,53.5,1156.67
2025-05-01,SOXL,BUY,4460,12.49,1114.108
2025-05-01,TSLL,BUY,5404,10.13,1094.8504
2025-05-02,CEP,SELL,954,56.97,1086.9876
2025-05-02,XXI,SELL,953,56.97,1085.8482
2025-05-07,HIMS,SELL,1111,50.95,1132.109
2025-05-09,HIMS,BUY,1111,50.95,1132.109
2025-05-09,ASST,SELL,345,163.7,1129.5299999999997
2025-05-09,PONY,SELL,3191,17.7,1129.614
2025-05-13,PONY,BUY,3191,19.05,1215.771
2025-05-13,NBIS,SELL,1661,34.34,1140.7748000000001
2025-05-13,SOXL,SELL,3243,17.58,1140.2387999999999
2025-05-13,ETHU,SELL,925,61.57,1139.045
2025-05-13,TSLL,SELL,4563,12.47,1138.0122
2025-05-14,ACHR,SELL,4899,11.49,1125.7902
2025-05-14,TSLT,SELL,2777,20.25,1124.685
2025-05-14,SMCI,SELL,1223,45.925,1123.3255
2025-05-14,CONL,SELL,1988,28.22,1122.0272
2025-05-14,OKLO,SELL,1622,34.55,1120.802
2025-05-15,NBIS,BUY,1661,35.07,1165.0254
2025-05-15,ETHU,BUY,925,61.94,1145.89
2025-05-15,TSLL,BUY,4563,13.76,1255.7376
2025-05-15,SMR,SELL,2336,23.63,1103.9936
2025-05-16,CEP,BUY,954,33.8,644.9039999999999
2025-05-16,XXI,BUY,953,33.8,644.228
2025-05-16,ASST,BUY,345,124.2,856.98
2025-05-16,ACHR,BUY,4899,12.8399,1258.0534020000002
2025-05-16,TSLT,BUY,2777,20.62,1145.2348000000002
2025-05-16,SMCI,BUY,1223,45.925,1123.3255
2025-05-16,CONL,BUY,1988,28.22,1122.0272
2025-05-16,OKLO,BUY,1622,38.53,1249.9132
2025-05-19,SMR,BUY,2336,23.63,1103.9936
2025-05-20,SOXL,BUY,3243,17.58,1140.2387999999999
2025-05-21,QBTS,SELL,3135,17.3,1084.71
2025-05-23,QBTS,BUY,3135,17.905,1122.6435
2025-05-28,LEU,SELL,410,131.7,1079.9399999999998
2025-05-28,SMR,SELL,1475,36.59,1079.4050000000002
2025-06-03,LEU,BUY,410,135.47,1110.854
2025-06-05,APLD,SELL,3878,13.97,1083.5132
2025-06-05,ASTS,SELL,1831,29.55,1082.121
2025-06-06,NBIS,SELL,1125,47.69,1073.025
2025-06-09,SMR,BUY,1475,35.1,1035.45
2025-06-09,APLD,BUY,3878,14.52,1126.1712
2025-06-10,ASTS,BUY,1831,35.18,1288.2916
2025-06-10,NBIS,BUY,1125,51.0,1147.5
2025-06-12,QUBT,SELL,2669,19.73,1053.1874
2025-06-16,QUBT,BUY,2669,19.73,1053.1874
2025-06-16,URGN,SELL,4056,12.96,1051.3152
2025-06-16,ASTS,SELL,1328,39.52,1049.6512000000002
2025-06-18,ASTS,BUY,1328,41.31,1097.1936
2025-06-20,URGN,BUY,4056,15.1,1224.912
