symbol,side,entry_ts,exit_ts,entry_px,exit_px,qty,gross_pnl,cost,net_pnl,return_pct,hold_days
BOIL,SHORT,2025-01-16,2025-01-23,149.0,140.44,340,2910.4000000000005,1968.192,942.2080000000005,5.744966442953025,7.0
MARA,SHORT,2025-01-21,2025-01-23,20.51,20.51,2491,-0.0,2043.6164,-2043.6164,0.0,2.0
FUBO,SHORT,2025-01-08,2025-01-24,67.49,47.16,740,15044.199999999999,1696.82,13347.38,30.12298118239739,16.0
OKLO,SHORT,2025-01-22,2025-01-24,32.43,39.55,1581,-11256.719999999996,2276.0076,-13532.727599999995,-21.95497995683009,2.0
CLEU,SHORT,2025-01-24,2025-01-28,560.32,588.0,89,-2463.5199999999954,2044.0096,-4507.529599999995,-4.9400342661336305,4.0
NNE,SHORT,2025-01-23,2025-01-29,37.54,37.54,1341,-0.0,2013.6456,-2013.6456,0.0,6.0
HIMS,SHORT,2025-02-03,2025-02-05,38.4,42.0,1307,-4705.200000000002,2101.656,-6806.856000000002,-9.375,2.0
TEM,SHORT,2025-02-06,2025-02-11,71.39,71.39,701,-0.0,2001.7756,-2001.7756,0.0,5.0
SMCI,SHORT,2025-02-10,2025-02-14,38.0,42.94,1317,-6505.979999999997,2131.9596,-8637.939599999998,-12.99999999999999,4.0
MSTX,SHORT,2025-01-21,2025-02-18,637.67,432.45,80,16417.6,1712.192,14705.408,32.182790471560516,28.0
SMCX,SHORT,2025-02-19,2025-02-21,233.21,245.6,216,-2676.239999999997,2068.4592000000002,-4744.699199999997,-5.312808198619257,2.0
SMCI,SHORT,2025-02-19,2025-02-21,59.04,61.0,855,-1675.8000000000006,2052.6839999999997,-3728.4840000000004,-3.3197831978319714,2.0
AIFF,SHORT,2025-02-13,2025-02-28,16.75,4.57,2964,36101.52,1263.8496,34837.670399999995,72.71641791044776,15.0
TSLQ,SHORT,2025-02-26,2025-02-28,115.09,130.49,445,-6853.000000000003,2185.6620000000003,-9038.662000000004,-13.38083239204102,2.0
TSLZ,SHORT,2025-02-26,2025-02-28,78.48,88.89,652,-6787.319999999998,2182.5048,-8969.824799999999,-13.26452599388379,2.0
MSTZ,SHORT,2025-02-26,2025-02-28,29.07,29.82,1760,-1320.0,2072.928,-3392.928,-2.579979360165119,2.0
GRRR,SHORT,2025-03-05,2025-03-13,39.49,28.86,1280,13606.400000000003,1749.7600000000002,11856.640000000003,26.918207141048367,8.0
TEM,SHORT,2025-02-14,2025-03-17,87.77,46.805,575,23554.874999999996,1547.6125000000002,22007.262499999997,46.6731229349436,31.0
TSLZ,SHORT,2025-03-11,2025-03-18,132.44,116.87,388,6041.159999999997,1934.6456000000003,4106.514399999996,11.756266988825125,7.0
TSLQ,SHORT,2025-03-11,2025-03-18,194.44,171.42,264,6077.2800000000025,1931.7408,4145.539200000003,11.839127751491462,7.0
QBTS,SHORT,2025-03-17,2025-03-19,10.91,10.94,4778,-143.33999999999693,2087.986,-2231.325999999997,-0.274977085242889,2.0
QUBT,SHORT,2025-03-18,2025-03-20,8.26,8.26,6255,-0.0,2066.652,-2066.652,0.0,2.0
TSLL,SHORT,2025-03-25,2025-03-27,10.82,10.82,4757,-0.0,2058.8296,-2058.8296,0.0,2.0
APP,SHORT,2025-03-25,2025-04-02,349.91,273.33,146,11180.680000000006,1819.8608,9360.819200000005,21.885627732845602,8.0
TEM,SHORT,2025-03-25,2025-04-03,60.77,45.41,846,12994.560000000005,1796.5656000000004,11197.994400000005,25.275629422412383,9.0
UVXY,SHORT,2025-03-31,2025-04-03,127.45,137.95,411,-4315.4999999999945,2181.5879999999997,-6497.087999999994,-8.238524911730071,3.0
YANG,SHORT,2025-04-08,2025-04-16,62.21,45.46,853,14287.75,1836.8501999999999,12450.8998,26.924931683009156,8.0
UVIX,SHORT,2025-04-09,2025-04-17,1947.0,1126.2,27,22161.6,1659.5280000000002,20502.072,42.15716486902927,8.0
MLGO,SHORT,2025-04-01,2025-04-22,966.45,361.2,54,32683.5,1433.862,31249.638,62.6261058513115,21.0
BITX,SHORT,2025-04-23,2025-04-25,39.49,39.74,1398,-349.5,2215.2708000000002,-2564.7708000000002,-0.6330716637123368,2.0
CEP,SHORT,2025-04-28,2025-04-30,32.5,32.5,1687,-0.0,2193.1,-2193.1,0.0,2.0
XXI,SHORT,2025-04-28,2025-04-30,32.5,32.5,1686,-0.0,2191.8,-2191.8,0.0,2.0
SOXL,SHORT,2025-04-25,2025-05-01,12.32,12.49,4460,-758.1999999999997,2213.0519999999997,-2971.2519999999995,-1.379870129870131,6.0
TSLL,SHORT,2025-04-28,2025-05-01,10.13,10.13,5404,-0.0,2189.7008,-2189.7008,0.0,3.0
TEM,SHORT,2025-04-24,2025-05-01,51.04,53.5,1081,-2659.260000000001,2260.1548000000003,-4919.414800000001,-4.81974921630095,7.0
HIMS,SHORT,2025-05-07,2025-05-09,50.95,50.95,1111,-0.0,2264.218,-2264.218,0.0,2.0
PONY,SHORT,2025-05-09,2025-05-13,17.7,19.05,3191,-4307.850000000005,2345.385,-6653.235000000005,-7.6271186440677985,4.0
NBIS,SHORT,2025-05-13,2025-05-15,34.34,35.07,1661,-1212.5299999999947,2305.8002,-3518.330199999995,-2.125800815375656,2.0
ETHU,SHORT,2025-05-13,2025-05-15,61.57,61.94,925,-342.2499999999976,2284.9350000000004,-2627.184999999998,-0.6009420172161661,2.0
TSLL,SHORT,2025-05-13,2025-05-15,12.47,13.76,4563,-5886.269999999996,2393.7497999999996,-8280.019799999995,-10.344827586206895,2.0
CEP,SHORT,2025-05-02,2025-05-16,56.97,33.8,954,22104.18,1731.8916,20372.2884,40.67052834825346,14.0
XXI,SHORT,2025-05-02,2025-05-16,56.97,33.8,953,22081.010000000002,1730.0762,20350.933800000003,40.67052834825346,14.0
ASST,SHORT,2025-05-09,2025-05-16,163.7,124.2,345,13627.499999999995,1986.5099999999998,11640.989999999994,24.12950519242516,7.0
ACHR,SHORT,2025-05-14,2025-05-16,11.49,12.8399,4899,-6613.160099999999,2383.843602,-8997.003701999998,-11.748476936466501,2.0
TSLT,SHORT,2025-05-14,2025-05-16,20.25,20.62,2777,-1027.4900000000027,2269.9198,-3297.409800000003,-1.8271604938271624,2.0
SMCI,SHORT,2025-05-14,2025-05-16,45.925,45.925,1223,-0.0,2246.651,-2246.651,0.0,2.0
CONL,SHORT,2025-05-14,2025-05-16,28.22,28.22,1988,-0.0,2244.0544,-2244.0544,0.0,2.0
OKLO,SHORT,2025-05-14,2025-05-16,34.55,38.53,1622,-6455.560000000007,2370.7151999999996,-8826.275200000007,-11.519536903039086,2.0
SMR,SHORT,2025-05-15,2025-05-19,23.63,23.63,2336,-0.0,2207.9872,-2207.9872,0.0,4.0
