symbol,open_date,close_date,close_pct,still_open,close_source
GLL,,2026-06-25,8.0,False,post-close-without-observed-open
LNG,,2024-10-11,1.6,False,post-close-without-observed-open
NCLH,,2024-10-11,13.8,False,post-close-without-observed-open
NOW,,2024-10-11,4.6,False,post-close-without-observed-open
SN,,2024-10-11,17.2,False,post-close-without-observed-open
STX,,2026-01-30,48.7,False,post-close-without-observed-open
TSLA,,2024-10-11,-1.1,False,post-close-without-observed-open
AXP,2024-10-11,2025-06-15,,False,absent-from-full-review (re-entered later)
BRK.B,2024-10-11,2025-06-15,,False,absent-from-full-review (re-entered later)
BX,2024-10-11,2025-03-29,,False,absent-from-all-full-reviews-after (post open)
CAT,2024-10-11,2025-03-29,,False,absent-from-full-review (re-entered later)
CMPO,2024-10-11,2025-03-29,,False,absent-from-all-full-reviews-after (post open)
DOV,2024-10-11,2025-03-29,,False,absent-from-full-review (re-entered later)
FAST,2024-10-11,2025-03-29,,False,absent-from-all-full-reviews-after (post open)
GBX,2024-10-11,2025-03-29,,False,absent-from-all-full-reviews-after (post open)
RC,2024-10-11,2025-03-29,,False,absent-from-all-full-reviews-after (post open)
WAB,2024-10-11,2025-03-29,,False,absent-from-full-review (re-entered later)
TXRH,2024-10-15,2025-03-29,,False,absent-from-all-full-reviews-after (post open)
AAL,2025-01-11,2025-03-29,,False,absent-from-all-full-reviews-after (snapshot-observed open)
AAPL,2025-01-11,2025-03-29,,False,absent-from-full-review (re-entered later)
ALTR,2025-01-11,2025-03-29,,False,absent-from-all-full-reviews-after (snapshot-observed open)
AMMO,2025-01-11,2025-03-29,,False,absent-from-all-full-reviews-after (snapshot-observed open)
AMZN,2025-01-11,2025-03-29,,False,absent-from-full-review (re-entered later)
ANET,2025-01-11,2025-03-29,,False,absent-from-full-review (re-entered later)
CCL,2025-01-11,2025-03-29,,False,absent-from-full-review (re-entered later)
CT,2025-01-11,2025-03-29,,False,absent-from-all-full-reviews-after (snapshot-observed open)
ENB,2025-01-11,2025-06-15,,False,absent-from-full-review (re-entered later)
EXE,2025-01-11,2025-03-29,,False,absent-from-full-review (re-entered later)
EXEL,2025-01-11,2025-03-29,,False,absent-from-full-review (re-entered later)
EXPE,2025-01-11,2025-03-29,,False,absent-from-full-review (re-entered later)
FWONK,2025-01-11,2025-03-29,,False,absent-from-all-full-reviews-after (snapshot-observed open)
JBLU,2025-01-11,2025-03-29,,False,absent-from-all-full-reviews-after (snapshot-observed open)
JWN,2025-01-11,2025-03-29,,False,absent-from-all-full-reviews-after (snapshot-observed open)
KMI,2025-01-11,2025-03-29,,False,absent-from-full-review (re-entered later)
KTOS,2025-01-11,2025-03-29,,False,absent-from-full-review (re-entered later)
META,2025-01-11,2025-03-29,,False,absent-from-full-review (re-entered later)
OWL,2025-01-11,2025-03-29,,False,absent-from-all-full-reviews-after (snapshot-observed open)
PLTR,2025-01-11,2025-03-29,,False,absent-from-full-review (re-entered later)
SNCY,2025-01-11,2025-03-29,,False,absent-from-all-full-reviews-after (snapshot-observed open)
SQQQ,2025-01-11,2025-03-29,,False,absent-from-full-review (re-entered later)
TJX,2025-01-11,2025-03-29,,False,absent-from-full-review (re-entered later)
TPX,2025-01-11,2025-03-29,,False,absent-from-all-full-reviews-after (snapshot-observed open)
TSM,2025-01-11,2025-03-29,,False,absent-from-full-review (re-entered later)
VRT,2025-01-11,2025-03-29,,False,absent-from-full-review (re-entered later)
WMT,2025-01-11,2025-06-15,,False,absent-from-full-review (re-entered later)
EQT,2025-01-16,2025-03-29,,False,absent-from-full-review (re-entered later)
ET,2025-01-16,2025-03-29,,False,absent-from-full-review (re-entered later)
HOOD,2025-01-16,2025-03-29,,False,absent-from-full-review (re-entered later)
CF,2025-01-18,2025-03-29,,False,absent-from-full-review (re-entered later)
CLS,2025-01-18,2025-06-15,,False,absent-from-full-review (re-entered later)
FLS,2025-01-18,2025-03-29,,False,absent-from-full-review (re-entered later)
GOOGL,2025-01-18,2025-03-29,,False,absent-from-full-review (re-entered later)
KR,2025-01-18,2025-03-29,,False,absent-from-full-review (re-entered later)
LBRT,2025-01-18,2025-03-29,,False,absent-from-full-review (re-entered later)
OKE,2025-01-18,2025-03-29,,False,absent-from-full-review (re-entered later)
TPR,2025-01-18,2025-03-29,,False,absent-from-full-review (re-entered later)
TRGP,2025-01-18,2025-03-29,,False,absent-from-full-review (re-entered later)
CTVA,2025-02-17,2025-03-29,,False,absent-from-full-review (re-entered later)
DBX,2025-02-17,2025-03-29,,False,absent-from-full-review (re-entered later)
GLD,2025-02-17,2025-03-29,,False,absent-from-full-review (re-entered later)
IBIT,2025-02-17,2025-03-29,,False,absent-from-full-review (re-entered later)
TRMB,2025-02-17,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
TSSI,2025-02-17,2025-03-29,,False,absent-from-full-review (re-entered later)
AEM,2025-02-22,2025-03-29,,False,absent-from-full-review (re-entered later)
BK,2025-02-22,2025-03-29,,False,absent-from-full-review (re-entered later)
CAKE,2025-02-22,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
CFG,2025-02-22,2025-03-29,,False,absent-from-full-review (re-entered later)
CMP,2025-02-22,2025-03-29,,False,absent-from-all-full-reviews-after (snapshot-observed open)
DRI,2025-02-22,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
EMR,2025-02-22,2025-06-15,,False,absent-from-full-review (re-entered later)
ENTG,2025-02-22,2025-03-29,,False,absent-from-full-review (re-entered later)
ETR,2025-02-22,2025-06-15,,False,absent-from-full-review (re-entered later)
GILD,2025-02-22,2025-03-29,,False,absent-from-full-review (re-entered later)
KD,2025-02-22,2025-03-29,,False,absent-from-all-full-reviews-after (snapshot-observed open)
KVUE,2025-02-22,2025-03-29,,False,absent-from-all-full-reviews-after (snapshot-observed open)
NI,2025-02-22,2025-03-29,,False,absent-from-full-review (re-entered later)
SLM,2025-02-22,2025-03-29,,False,absent-from-all-full-reviews-after (snapshot-observed open)
ALKS,2025-03-08,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
CEF,2025-03-08,2025-03-29,,False,absent-from-full-review (re-entered later)
COST,2025-03-08,2025-06-15,,False,absent-from-full-review (re-entered later)
DVOL,2025-03-08,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
EFC,2025-03-08,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
ITZ,2025-03-08,2025-03-29,,False,absent-from-all-full-reviews-after (snapshot-observed open)
KT,2025-03-08,2025-03-29,,False,absent-from-all-full-reviews-after (snapshot-observed open)
LTH,2025-03-08,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
MA,2025-03-08,2025-06-15,,False,absent-from-full-review (re-entered later)
MP,2025-03-08,2025-03-29,,False,absent-from-all-full-reviews-after (snapshot-observed open)
PLNT,2025-03-08,2025-03-29,,False,absent-from-full-review (re-entered later)
PRMB,2025-03-08,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
PRVA,2025-03-08,2025-06-15,,False,absent-from-full-review (re-entered later)
SPG,2025-03-08,2025-06-15,,False,absent-from-full-review (re-entered later)
STWD,2025-03-08,2025-03-29,,False,absent-from-all-full-reviews-after (snapshot-observed open)
TAP,2025-03-08,2025-03-29,,False,absent-from-all-full-reviews-after (snapshot-observed open)
USFD,2025-03-08,2025-03-29,,False,absent-from-full-review (re-entered later)
UTI,2025-03-08,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
VTR,2025-03-08,2025-03-29,,False,absent-from-full-review (re-entered later)
EUFN,2025-03-15,2025-03-29,,False,absent-from-full-review (re-entered later)
GREEK,2025-03-15,2025-03-29,,False,absent-from-all-full-reviews-after (snapshot-observed open)
NRG,2025-03-15,2025-06-15,,False,absent-from-full-review (re-entered later)
BECN,2025-03-24,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
COR,2025-03-24,2025-03-29,,False,absent-from-full-review (re-entered later)
FNV,2025-03-24,2025-06-15,,False,absent-from-full-review (re-entered later)
NWE,2025-03-24,2025-03-29,,False,absent-from-full-review (re-entered later)
RTX,2025-03-24,2025-08-23,,False,absent-from-full-review (re-entered later)
SHLD,2025-03-24,2025-06-15,,False,absent-from-full-review (re-entered later)
SLV,2025-03-24,2025-06-15,,False,absent-from-full-review (re-entered later)
SONY,2025-03-24,2025-03-29,,False,absent-from-all-full-reviews-after (snapshot-observed open)
AGI,2025-03-29,2025-06-15,,False,absent-from-full-review (re-entered later)
BCC,2025-03-29,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
BRK.A,2025-03-29,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
CCEP,2025-03-29,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
DKS,2025-03-29,2025-06-15,,False,absent-from-full-review (re-entered later)
ELAD,2025-03-29,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
EUAD,2025-03-29,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
GCOW,2025-03-29,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
GREK,2025-03-29,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
IYZ,2025-03-29,2025-06-15,,False,absent-from-full-review (re-entered later)
MMA,2025-03-29,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
MWA,2025-03-29,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
NFLX,2025-03-29,2025-06-15,,False,absent-from-full-review (re-entered later)
NG,2025-03-29,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
PHYS,2025-03-29,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
SO,2025-03-29,2025-06-15,,False,absent-from-full-review (re-entered later)
T,2025-03-29,2025-06-15,,False,absent-from-full-review (re-entered later)
TIGO,2025-03-29,2025-07-04,,False,absent-from-full-review (re-entered later)
TMUS,2025-03-29,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
TRIN,2025-03-29,2025-06-15,,False,absent-from-full-review (re-entered later)
VZ,2025-03-29,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
WELL,2025-03-29,2025-06-28,,False,absent-from-full-review (re-entered later)
CFG,2025-04-12,2025-06-15,,False,absent-from-full-review (re-entered later)
CME,2025-04-12,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
EXC,2025-04-12,2025-06-15,,False,absent-from-full-review (re-entered later)
IDV,2025-04-12,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
KGC,2025-04-12,2025-06-15,,False,absent-from-full-review (re-entered later)
MNST,2025-04-12,2025-06-28,,False,absent-from-full-review (re-entered later)
NEM,2025-04-12,2025-06-15,,False,absent-from-full-review (re-entered later)
OLLI,2025-04-12,2025-06-15,,False,absent-from-all-full-reviews-after (snapshot-observed open)
