symbol,side,entry_ts,exit_ts,entry_px,exit_px,qty,gross_pnl,cost,net_pnl,return_pct,hold_days
AGQ,LONG,2025-12-03 09:35:00,2025-12-04 09:35:00,110.74,112.81,84,173.88000000000062,20.825493255,153.05450674500062,1.8692432725302632,1.0
AUPH,LONG,2025-12-02 09:35:00,2025-12-09 09:35:00,15.61,15.53,600,-48.00000000000004,20.721023100000004,-68.72102310000005,-0.5124919923126248,7.0
CIEN,LONG,2025-12-11 09:35:00,2025-12-12 09:35:00,236.0,220.84,39,-591.2399999999999,57.858591843,-649.0985918429999,-6.423728813559315,1.0
AGQ,LONG,2025-12-17 09:35:00,2025-12-29 09:35:00,141.82,183.53,64,2669.4400000000005,23.09256216,2646.3474378400006,29.41052037794387,12.0
B,LONG,2025-12-19 09:35:00,2025-12-29 09:35:00,45.75,44.795,203,-193.86499999999967,5.690644595999999,-199.55564459599967,-2.0874316939890725,10.0
INDV,LONG,2025-12-05 09:35:00,2025-12-29 09:35:00,37.72,36.29,248,-354.63999999999993,30.675842424000002,-385.3158424239999,-3.791092258748674,24.0
ITRG,LONG,2025-12-26 09:35:00,2025-12-29 09:35:00,4.28,4.12,2294,-367.0400000000003,21.37046814,-388.4104681400003,-3.738317757009346,3.0
LITE,LONG,2025-12-11 09:35:00,2025-12-29 09:35:00,362.56,373.97,25,285.2500000000006,25.09403743125,260.1559625687506,3.147065313327446,18.0
PSLV,LONG,2025-12-19 09:35:00,2025-12-29 09:35:00,22.94,25.4,406,998.7599999999989,21.765769011000003,976.9942309889989,10.723626852659107,10.0
LITE,LONG,2025-12-31 09:35:00,2026-01-05 09:35:00,379.38,355.675,25,-592.6249999999995,25.043783259375,-617.6687832593745,-6.248352575254357,5.0
ERO,LONG,2025-12-31 09:35:00,2026-01-07 09:35:00,28.91,28.22,328,-226.32000000000042,31.347402389999996,-257.6674023900004,-2.3867173988239454,7.0
FCX,LONG,2026-01-05 09:35:00,2026-01-07 09:35:00,56.01,54.615,175,-244.12499999999932,6.94323984375,-251.06823984374932,-2.4906266738082383,2.0
AGQ,LONG,2025-12-30 09:35:00,2026-01-08 09:35:00,162.03,190.77,59,1695.6600000000005,23.084577180000004,1672.5754228200005,17.737456026661725,9.0
B,LONG,2026-01-06 09:35:00,2026-01-12 09:35:00,46.73,49.5,216,598.3200000000006,6.435246527999999,591.8847534720006,5.9276695912690025,6.0
CENX,LONG,2026-01-12 09:35:00,2026-01-14 09:35:00,47.8,47.7,213,-21.29999999999879,15.3049446,-36.60494459999879,-0.20920502092048876,2.0
EGO,LONG,2025-12-29 09:35:00,2026-01-15 09:35:00,36.71,40.14,261,895.2299999999999,23.052487004999996,872.1775129949999,9.34350313266139,17.0
AA,LONG,2025-12-29 09:35:00,2026-01-16 09:35:00,54.73,59.73,175,875.0,13.9847943375,861.0152056625,9.135757354284667,18.0
HBM,LONG,2026-01-14 09:35:00,2026-01-16 09:35:00,22.72,22.81,462,41.579999999999934,11.5055425485,30.074457451499935,0.3961267605633756,2.0
PSLV,LONG,2025-12-30 09:35:00,2026-01-20 09:35:00,24.01,31.05,398,2801.9199999999996,24.303040767000006,2777.6169592329998,29.321116201582665,21.0
FIVE,LONG,2026-01-14 09:35:00,2026-01-20 09:35:00,201.27,192.98,52,-431.08000000000106,51.067478474999994,-482.14747847500104,-4.1188453321409195,6.0
HL,LONG,2026-01-16 09:35:00,2026-01-20 09:35:00,28.05,29.2,363,417.4499999999995,15.879335175,401.5706648249995,4.099821746880572,4.0
FCX,LONG,2026-01-08 09:35:00,2026-01-20 09:35:00,55.45,61.55,177,1079.699999999999,7.42728285,1072.272717149999,11.000901713255185,12.0
AGQ,LONG,2026-01-09 09:35:00,2026-01-20 09:35:00,217.18,270.65,45,2406.1499999999987,24.34570495875,2381.8042950412487,24.620130767105607,11.0
SCCO,LONG,2026-01-15 09:35:00,2026-01-22 09:35:00,179.86,178.91,57,-54.15000000000097,41.065935356249994,-95.21593535625097,-0.5281885911264439,7.0
VICR,LONG,2026-01-21 09:35:00,2026-01-23 09:35:00,164.93,151.67,63,-835.3800000000012,128.095418115,-963.4754181150013,-8.039774449766579,2.0
MKSI,LONG,2026-01-20 09:35:00,2026-01-23 09:35:00,215.96,217.73,48,84.95999999999913,78.894803088,6.065196911999124,0.8195962215225006,3.0
MT,LONG,2026-01-20 09:35:00,2026-01-23 09:35:00,50.64,55.24,206,947.6000000000003,16.013296494,931.5867035060003,9.08372827804107,3.0
PLTM,LONG,2026-01-22 09:35:00,2026-01-26 09:35:00,26.04,25.205,402,-335.67000000000036,44.07526336725,-379.74526336725035,-3.20660522273426,4.0
SVM,LONG,2026-01-20 09:35:00,2026-01-27 09:35:00,12.57,12.98,833,341.53000000000014,25.37536766625,316.15463233375016,3.2617342879872613,7.0
HBM,LONG,2026-01-27 09:35:00,2026-01-29 09:35:00,26.76,25.01,387,-677.25,10.958638655250002,-688.20863865525,-6.539611360239162,2.0
PLTM,LONG,2026-01-27 09:35:00,2026-01-29 09:35:00,25.525,22.105,406,-1388.5199999999993,41.3736637545,-1429.8936637544994,-13.398628795298716,2.0
SVM,LONG,2026-01-28 09:35:00,2026-01-30 09:35:00,13.13,9.88,795,-2583.75,21.810226961250002,-2605.56022696125,-24.752475247524753,2.0
PAAS,LONG,2026-01-23 09:35:00,2026-01-30 09:35:00,69.81,54.25,150,-2334.0000000000005,4.852761975,-2338.8527619750002,-22.28907033376307,7.0
SCCO,LONG,2026-01-23 09:35:00,2026-01-30 09:35:00,189.05,189.5,55,24.749999999999375,41.80966453125001,-17.059664531250633,0.2380322665961332,7.0
ERO,LONG,2026-01-27 09:35:00,2026-01-30 09:35:00,36.05,32.79,287,-935.6199999999994,33.05112520499999,-968.6711252049994,-9.042995839112344,3.0
MKSI,LONG,2026-01-27 09:35:00,2026-01-30 09:35:00,233.62,231.705,44,-84.25999999999965,77.59554957,-161.85554956999965,-0.8197072168478647,3.0
