symbol,side,entry_ts,exit_ts,entry_px,exit_px,qty,gross_pnl,cost,net_pnl,return_pct,hold_days
EXE,LONG,2025-12-01 09:35:00,2025-12-02 09:35:00,121.25,118.36,77,-222.53000000000003,11.10457569375,-233.63457569375004,-2.383505154639176,1.0
MD,LONG,2025-12-01 09:35:00,2025-12-02 09:35:00,24.12,23.81,388,-120.28000000000088,24.122426084999997,-144.40242608500088,-1.28524046434495,1.0
AGQ,LONG,2025-12-01 09:35:00,2025-12-03 09:35:00,113.94,110.74,82,-262.4000000000002,20.432410434,-282.8324104340002,-2.808495699490965,2.0
JNJ,LONG,2025-12-01 09:35:00,2025-12-04 09:35:00,205.24,202.98,45,-101.70000000000087,10.7753240925,-112.47532409250087,-1.1011498733190517,3.0
PSLV,LONG,2025-12-01 09:35:00,2025-12-04 09:35:00,19.41,19.39,482,-9.639999999999795,20.740541940000004,-30.380541939999798,-0.10303967027305294,3.0
WM,LONG,2025-12-02 09:35:00,2025-12-04 09:35:00,214.96,213.07,43,-81.27000000000064,20.411926742250003,-101.68192674225064,-0.8792333457387502,2.0
NTRA,LONG,2025-12-01 09:35:00,2025-12-08 09:35:00,236.95,239.5,39,99.45000000000044,44.51349664125,54.93650335875044,1.0761764085250203,7.0
DVN,LONG,2025-12-04 09:35:00,2025-12-08 09:35:00,37.58,37.32,247,-64.21999999999952,4.816090597500001,-69.03609059749951,-0.691857370941984,4.0
GCT,LONG,2025-12-02 09:35:00,2025-12-08 09:35:00,38.91,39.34,239,102.77000000000163,43.77471868125001,58.99528131875162,1.1051143664867924,6.0
B,LONG,2025-12-01 09:35:00,2025-12-10 09:35:00,41.855,41.5,223,-79.16499999999931,5.754895884,-84.91989588399932,-0.8481662883765284,9.0
MDT,LONG,2025-12-01 09:35:00,2025-12-10 09:35:00,103.42,101.39,90,-182.7000000000001,5.0598310500000006,-187.75983105000012,-1.9628698510926301,9.0
MPLX,LONG,2025-12-08 09:35:00,2025-12-11 09:35:00,55.62,54.47,165,-189.74999999999977,7.2218902387499995,-196.97189023874978,-2.067601582164691,3.0
