date,equity
2025-01-02,100380.0239510305
2025-01-03,99590.6539510305
2025-01-06,99467.95395103049
2025-01-07,100028.2839510305
2025-01-08,100559.9839510305
2025-01-10,101521.1339510305
2025-01-13,100510.9039510305
2025-01-14,101038.5139510305
2025-01-15,101795.1639510305
2025-01-16,102498.64395103049
2025-01-17,101954.6739510305
2025-01-21,103533.4139510305
2025-01-22,104065.11395103051
2025-01-23,103917.87395103049
2025-01-24,104564.0939510305
2025-01-27,103476.1539510305
2025-01-28,104371.86395103051
2025-01-29,103971.04395103049
2025-01-30,105545.69395103051
2025-01-31,105754.2839510305
2025-02-03,106318.70395103049
2025-02-04,107365.7439510305
2025-02-05,108032.4139510305
2025-02-06,107746.11395103051
2025-02-07,107938.34395103049
2025-02-10,109766.5739510305
2025-02-11,109365.75395103049
2025-02-12,109480.27395103051
2025-02-13,110560.0339510305
2025-02-14,108915.85395103051
2025-02-18,110719.54395103049
2025-02-19,110780.8939510305
2025-02-20,110838.1539510305
2025-02-21,110735.9039510305
2025-02-24,111337.13395103048
2025-02-25,109868.8239510305
2025-02-26,110036.51395103049
2025-02-27,108359.61395103051
2025-02-28,107680.67395103049
2025-03-03,109099.9039510305
2025-03-04,110048.7839510305
2025-03-05,110277.8239510305
2025-03-06,109717.4939510305
2025-03-07,109774.75395103049
2025-03-10,108813.60395103051
2025-03-11,110089.68395103051
2025-03-12,110568.21395103048
2025-03-13,112531.4139510305
2025-03-14,112576.4039510305
2025-03-17,113185.8139510305
2025-03-18,114506.88395103048
2025-03-19,114977.2339510305
2025-03-20,114829.9939510305
2025-03-21,113905.6539510305
2025-03-24,113398.4939510305
2025-03-25,113897.47395103051
2025-03-26,113803.4039510305
2025-03-27,115328.97395103051
2025-03-28,116183.7839510305
2025-03-31,117852.50395103049
2025-04-01,117619.37395103049
2025-04-02,117860.68395103051
2025-04-03,117149.02395103051
2025-04-04,114408.72395103051
2025-04-07,111950.63395103048
2025-04-08,112560.04395103049
2025-04-09,116723.6639510305
2025-04-10,119574.3939510305
2025-04-11,121856.61395103051
2025-04-14,121161.3139510305
2025-04-15,121795.26395103049
2025-04-16,125758.47395103051
2025-04-17,125206.3239510305
2025-04-21,129079.55395103048
2025-04-22,127247.2339510305
2025-04-23,124196.09395103049
2025-04-24,126003.87395103049
2025-04-25,124637.8139510305
2025-04-28,126412.87395103049
2025-04-29,125181.7839510305
2025-04-30,124245.17395103049
2025-05-01,121664.38395103048
2025-05-02,121877.0639510305
2025-05-05,125517.1639510305
2025-05-06,129034.5639510305
2025-05-07,127099.9939510305
2025-05-08,124596.9139510305
2025-05-09,125500.80395103048
2025-05-12,121962.95395103049
2025-05-13,122482.38395103048
2025-05-14,119905.68395103051
2025-05-15,121819.80395103048
2025-05-16,120347.4039510305
2025-05-19,121897.51395103049
2025-05-20,124167.46395103048
2025-05-21,125083.62395103049
2025-05-22,123975.2339510305
2025-05-23,126690.9939510305
2025-05-27,124543.7439510305
2025-05-28,124261.5339510305
2025-05-29,121289.53415105562
2025-05-30,121694.08523733162
2025-06-02,125408.30945979361
2025-06-03,125412.37912600985
2025-06-04,126444.04830739924
2025-06-05,124692.30864309725
2025-06-06,126101.73453708325
2025-06-09,122814.30383438324
2025-06-10,119835.1274137905
2025-06-11,122011.81018931737
2025-06-12,121640.46863532787
2025-06-13,121305.47908286288
2025-06-16,124449.34680427173
2025-06-17,124180.26143990198
2025-06-18,125412.85628668261
2025-06-20,124293.28684677274
2025-06-23,123702.26702633336
2025-06-24,125760.02335018912
2025-06-25,123705.78209691061
2025-06-26,125369.3667535721
2025-06-27,125714.1527471216
2025-06-30,128897.50867829598
2025-07-01,123846.74819463161
2025-07-02,128461.24087159285
2025-07-03,131590.5726308702
2025-07-07,130876.77927874436
2025-07-08,129208.49588614661
2025-07-09,130254.70144849621
2025-07-10,128739.84415122848
2025-07-11,126640.1050605136
2025-07-14,130497.99745364224
2025-07-15,132571.7473737257
2025-07-16,134843.20089932973
2025-07-17,139629.68873058195
2025-07-18,139522.39995567498
2025-07-21,135895.65037931706
2025-07-22,134106.24810081316
2025-07-23,134626.8770107635
2025-07-24,133550.0913580064
2025-07-25,132266.3806652898
2025-07-28,132666.63887221317
2025-07-29,128602.17922218141
2025-07-30,129610.83215998717
2025-07-31,131721.54041213304
2025-08-01,126899.58049117743
2025-08-04,134208.84957639754
2025-08-05,134093.4652011403
2025-08-06,136074.8580764913
2025-08-07,135263.05034881106
2025-08-08,137166.65952961944
2025-08-11,137468.2224661397
2025-08-12,140168.50735759974
2025-08-13,139951.4068232186
2025-08-14,139875.86269620445
2025-08-15,136762.14837384413
2025-08-18,138283.90709000189
2025-08-19,130647.84329004817
2025-08-20,130154.30761365966
2025-08-21,129759.43197747404
2025-08-22,133949.5907966423
2025-08-25,133631.87199441678
2025-08-26,135660.72593218216
2025-08-27,136085.57616380427
2025-08-28,139881.18292310653
2025-08-29,136759.66786898964
2025-09-02,135446.36734745317
2025-09-03,136868.54230862868
2025-09-04,141076.9203686088
2025-09-05,145241.23545804867
2025-09-08,148661.79769658842
2025-09-09,148505.08655170805
2025-09-10,158763.70936169106
2025-09-11,159188.97721985294
2025-09-12,158954.80589078955
2025-09-15,164593.48223542693
2025-09-16,165520.39574198556
2025-09-17,166769.4649261867
2025-09-18,171964.72250858805
2025-09-19,174818.83303810057
2025-09-22,178231.1585835574
2025-09-23,177677.08787286645
2025-09-24,172071.23682792654
2025-09-25,166451.33558339067
2025-09-26,166894.3158196318
2025-09-29,174221.2845916223
2025-09-30,172955.47772921005
2025-10-01,176214.30564033356
2025-10-02,186928.48242662556
2025-10-03,191590.86234932835
2025-10-06,191846.27894900134
2025-10-07,194485.93130069706
2025-10-08,195309.2455292352
2025-10-09,195359.22561035445
2025-10-10,186993.95756565896
2025-10-13,201710.58811277855
2025-10-14,197602.26131600054
2025-10-15,202520.43759542817
2025-10-16,194053.9496916033
2025-10-17,188320.5685682707
2025-10-20,189134.56191853556
2025-10-21,180518.6452250258
2025-10-22,172077.55352017056
2025-10-23,184427.29078688417
2025-10-24,189426.13017616395
2025-10-27,191515.60846267256
2025-10-28,188690.72141526188
2025-10-29,197159.15386180888
2025-10-30,193854.11613382373
2025-10-31,199423.35072727775
2025-11-03,197161.33411505737
2025-11-04,186424.64468003038
2025-11-05,197754.51884781112
2025-11-06,189889.10688075062
2025-11-07,191616.25279506374
2025-11-10,197653.9102094479
2025-11-11,192225.0664725654
2025-11-12,186227.237666375
2025-11-13,175364.63435947028
2025-11-14,177384.7510693509
2025-11-17,173948.8798795904
2025-11-18,173938.59751185874
2025-11-19,174104.02021627736
2025-11-20,161122.17208213094
2025-11-21,162846.11629697308
2025-11-24,173417.3336664437
2025-11-25,174030.39335545903
2025-11-26,174196.3455419452
2025-11-28,177449.98969776096
2025-12-01,176176.4131187021
2025-12-02,179172.6056340212
2025-12-03,181583.3188794331
2025-12-04,186814.7736034172
2025-12-05,188587.6548554397
2025-12-08,190629.38835389772
2025-12-09,191702.0935536537
2025-12-10,192287.00949865856
2025-12-11,192150.0119591126
2025-12-12,179569.13325280082
2025-12-15,172530.7504667768
2025-12-16,172245.13218358307
2025-12-17,164736.39097579962
2025-12-18,171440.5337814266
2025-12-19,176204.42472125535
2025-12-22,177412.5906506446
2025-12-23,177134.57262386061
2025-12-24,178696.37120050873
2025-12-26,178714.590795267
2025-12-29,178129.4099672521
2025-12-30,177734.48876531562
2025-12-31,175631.1872761245
2026-01-02,180445.91033746907
2026-01-05,179460.560178366
2026-01-06,187814.36678679637
2026-01-07,187345.90640726936
2026-01-08,181146.87117618596
2026-01-09,186566.3878134721
2026-01-12,190580.77373243286
2026-01-13,192108.88597719558
2026-01-14,191143.3145860488
2026-01-15,197382.00615163232
2026-01-16,198738.2037671496
2026-01-20,198469.19338961222
2026-01-21,203792.57955821522
2026-01-22,203144.30271043547
2026-01-23,197791.0115252932
2026-01-26,196094.61982548021
2026-01-27,206655.82576200872
2026-01-28,212584.59741047883
2026-01-29,212343.9361097016
2026-01-30,199715.60419565407
2026-02-02,206217.6440978101
2026-02-03,208452.22634817133
2026-02-04,192316.07431137585
2026-02-05,189672.96242578447
2026-02-06,198088.3536093326
2026-02-09,201145.17539668558
2026-02-10,192949.1660628846
2026-02-11,199014.2366956371
2026-02-12,196848.02277242826
2026-02-13,199976.97853923836
2026-02-17,200638.48247008922
2026-02-18,207568.3368576495
2026-02-19,208108.45425606222
2026-02-20,210283.52606213425
2026-02-23,209521.04164753674
2026-02-24,210772.286765168
2026-02-25,215042.07479247547
2026-02-26,208336.707967631
2026-02-27,211852.5261060091
2026-03-02,221138.2833802781
2026-03-03,207279.3138784776
2026-03-04,211339.42381584822
2026-03-05,204254.16979487648
2026-03-06,193395.14295322847
2026-03-09,206693.2051470302
2026-03-10,213515.9634721696
2026-03-11,217384.33282133157
2026-03-12,210750.28749915998
2026-03-13,213187.09637980923
2026-03-16,216728.35804256072
2026-03-17,223890.81007304337
2026-03-18,224601.94083280288
2026-03-19,227413.52886176578
2026-03-20,212533.88373227717
2026-03-23,219943.6236137324
2026-03-24,223433.264398393
2026-03-25,224181.83495507226
2026-03-26,206007.17530430053
2026-03-27,202159.11334293152
2026-03-30,187557.814326976
2026-03-31,200577.5994961999
2026-04-01,208054.52191884044
2026-04-02,217585.54551202708
2026-04-06,214809.04163705258
2026-04-07,216264.45484211686
2026-04-08,232651.40982558785
2026-04-09,234134.42253695722
2026-04-10,227100.3652434695
2026-04-13,231955.5934576735
2026-04-14,231621.52688979672
2026-04-15,228771.02456671448
2026-04-16,235638.76882199396
2026-04-17,241622.56752016846
2026-04-20,246358.43072649708
2026-04-21,247537.9820169178
2026-04-22,251821.4047498231
2026-04-23,249132.22635635507
2026-04-24,253346.43026695857
2026-04-27,251327.45196154006
2026-04-28,241642.7470511383
2026-04-29,250843.17667235184
2026-04-30,260862.41008773883
2026-05-01,274445.8444685039
2026-05-04,271353.3746278512
2026-05-05,300214.3912487742
2026-05-06,301860.9018153574
2026-05-07,280669.3280158857
2026-05-08,308074.15965058544
2026-05-11,315757.4787128499
2026-05-12,301371.7086517008
2026-05-13,312403.7917175531
2026-05-14,308102.2849124309
2026-05-15,300406.82114919624
2026-05-18,284391.61615701683
2026-05-19,290908.5222693456
2026-05-20,302866.42898391996
2026-05-21,320182.4117834327
2026-05-22,333777.0091676977
2026-05-26,342865.2897558094
2026-05-27,331380.1810790983
2026-05-28,332336.9608895608
2026-05-29,336120.7133125123
2026-06-01,330876.0006936518
2026-06-02,345721.2694767895
2026-06-03,356518.368213358
2026-06-04,357209.91607058316
2026-06-05,313655.2633942113
2026-06-08,320872.6356799785
2026-06-09,310821.08380250836
2026-06-10,299088.1252882116
2026-06-11,322821.5028304431
2026-06-12,328741.9930915891
2026-06-15,349842.0470314224
2026-06-16,328762.9523622096
2026-06-17,333608.6953128865
2026-06-18,360470.1544757813
2026-06-22,369563.9234105109
2026-06-23,337597.3995176878
2026-06-24,331127.5269643859
2026-06-25,349385.94144029845
2026-06-26,332950.77218066313
2026-06-29,346428.79605758365
2026-06-30,370157.60426916543
2026-07-01,339309.8825507146
2026-07-02,310703.43941788806
2026-07-06,323184.6526372118
2026-07-07,302346.15543621813
2026-07-08,308110.9163677927
2026-07-09,322734.4348097145
2026-07-10,316926.3494377714
2026-07-13,304865.3886315794
2026-07-14,323220.0929129618
2026-07-15,312682.98765261343
2026-07-16,304028.13699400664
2026-07-17,302545.35014687944
2026-07-20,301484.5796216943
2026-07-21,305585.64284311
2026-07-22,305251.42906885437
2026-07-23,301684.99427153595
2026-07-24,295722.47052702814
2026-07-27,292713.8378216859
2026-07-28,285117.31232994166
2026-07-29,285938.83538788214
2026-07-30,299333.9440984414
2026-07-31,302600.65404227935
2026-08-03,311552.8826259503
2026-08-04,327291.98221823206
2026-08-05,322554.41907818534
2026-08-06,312138.25941726036
2026-08-07,317089.97402486845
2026-08-10,323335.7112071064
