date,equity
2025-01-02,100380.0239510305
2025-01-03,99590.6539510305
2025-01-06,99467.95395103049
2025-01-07,100028.2839510305
2025-01-08,100559.9839510305
2025-01-10,101521.1339510305
2025-01-13,100510.9039510305
2025-01-14,101038.5139510305
2025-01-15,101795.1639510305
2025-01-16,102498.64395103049
2025-01-17,101954.6739510305
2025-01-21,103533.4139510305
2025-01-22,104065.11395103051
2025-01-23,103917.87395103049
2025-01-24,104564.0939510305
2025-01-27,103476.1539510305
2025-01-28,104371.86395103051
2025-01-29,103971.04395103049
2025-01-30,105545.69395103051
2025-01-31,105754.2839510305
2025-02-03,106318.70395103049
2025-02-04,107365.7439510305
2025-02-05,108032.4139510305
2025-02-06,107746.11395103051
2025-02-07,107938.34395103049
2025-02-10,109766.5739510305
2025-02-11,109365.75395103049
2025-02-12,109480.27395103051
2025-02-13,110560.0339510305
2025-02-14,108915.85395103051
2025-02-18,110719.54395103049
2025-02-19,110780.8939510305
2025-02-20,110838.1539510305
2025-02-21,110735.9039510305
2025-02-24,111337.13395103048
2025-02-25,109868.8239510305
2025-02-26,110036.51395103049
2025-02-27,108359.61395103051
2025-02-28,107680.67395103049
2025-03-03,109099.9039510305
2025-03-04,110048.7839510305
2025-03-05,110277.8239510305
2025-03-06,109717.4939510305
2025-03-07,109774.75395103049
2025-03-10,108813.60395103051
2025-03-11,110089.68395103051
2025-03-12,110568.21395103048
2025-03-13,112531.4139510305
2025-03-14,112576.4039510305
2025-03-17,113185.8139510305
2025-03-18,114506.88395103048
2025-03-19,114977.2339510305
2025-03-20,114829.9939510305
2025-03-21,113905.6539510305
2025-03-24,113398.4939510305
2025-03-25,113897.47395103051
2025-03-26,113803.4039510305
2025-03-27,115328.97395103051
2025-03-28,116183.7839510305
2025-03-31,117852.50395103049
2025-04-01,117619.37395103049
2025-04-02,117860.68395103051
2025-04-03,117149.02395103051
2025-04-04,114408.72395103051
2025-04-07,111950.63395103048
2025-04-08,112560.04395103049
2025-04-09,116723.6639510305
2025-04-10,119574.3939510305
2025-04-11,121856.61395103051
2025-04-14,121161.3139510305
2025-04-15,121795.26395103049
2025-04-16,125758.47395103051
2025-04-17,125206.3239510305
2025-04-21,129079.55395103048
2025-04-22,127247.2339510305
2025-04-23,124196.09395103049
2025-04-24,126003.87395103049
2025-04-25,124637.8139510305
2025-04-28,126412.87395103049
2025-04-29,125181.7839510305
2025-04-30,124245.17395103049
2025-05-01,121664.38395103048
2025-05-02,121877.0639510305
2025-05-05,125517.1639510305
2025-05-06,129034.5639510305
2025-05-07,127099.9939510305
2025-05-08,124596.9139510305
2025-05-09,125500.80395103048
2025-05-12,121962.95395103049
2025-05-13,122482.38395103048
2025-05-14,119905.68395103051
2025-05-15,121819.80395103048
2025-05-16,120347.4039510305
2025-05-19,121897.51395103049
2025-05-20,124167.46395103048
2025-05-21,125083.62395103049
2025-05-22,123975.2339510305
2025-05-23,126690.9939510305
2025-05-27,124543.7439510305
2025-05-28,124261.5339510305
2025-05-29,124997.7339510305
2025-05-30,124175.6439510305
2025-06-02,130043.14291270523
2025-06-03,130679.27291270523
2025-06-04,130256.78291270522
2025-06-05,127858.41291270521
2025-06-06,130106.38291270523
2025-06-09,129239.17291270522
2025-06-10,126482.39291270523
2025-06-11,129620.85291270523
2025-06-12,128686.64291270523
2025-06-13,128160.60291270523
2025-06-16,131801.84291270524
2025-06-17,129673.35291270523
2025-06-18,128869.12291270524
2025-06-20,127595.42291270522
2025-06-23,127918.16671450123
2025-06-24,128342.00671450124
2025-06-25,127299.50671450124
2025-06-26,128026.52671450123
2025-06-27,127391.39671450124
2025-06-30,130817.55671450123
2025-07-01,125329.16992309286
2025-07-02,131011.29992309287
2025-07-03,133754.44992309288
2025-07-07,135031.72992309288
2025-07-08,134375.04992309285
2025-07-09,136251.47992309288
2025-07-10,135595.77992309286
2025-07-11,132742.12992309287
2025-07-14,138334.95992309286
2025-07-15,140894.28992309287
2025-07-16,146523.24992309287
2025-07-17,151611.26992309286
2025-07-18,151170.48992309286
2025-07-21,149523.47992309288
2025-07-22,145557.68992309287
2025-07-23,153644.26992309286
2025-07-24,152737.41992309288
2025-07-25,152104.27992309286
2025-07-28,152205.87992309287
2025-07-29,146941.90992309287
2025-07-30,149969.38992309288
2025-07-31,155272.22992309285
2025-08-01,149806.44416795185
2025-08-04,158148.90416795187
2025-08-05,158640.95416795186
2025-08-06,157904.67416795186
2025-08-07,158209.1031342669
2025-08-08,160353.66313426686
2025-08-11,160005.94313426688
2025-08-12,162095.92313426686
2025-08-13,162113.11313426687
2025-08-14,159179.22313426688
2025-08-15,155262.40313426687
2025-08-18,157054.61313426687
2025-08-19,147691.19313426688
2025-08-20,148076.98313426686
2025-08-21,147881.22313426688
2025-08-22,152477.5731342669
2025-08-25,150702.65313426687
2025-08-26,153602.1331342669
2025-08-27,152951.80313426687
2025-08-28,158030.75313426688
2025-08-29,153279.93313426687
2025-09-02,152544.84278882013
2025-09-03,153701.2627888201
2025-09-04,159117.28278882013
2025-09-05,161691.27278882012
2025-09-08,164509.8527888201
2025-09-09,167184.0127888201
2025-09-10,172596.2627888201
2025-09-11,174483.3827888201
2025-09-12,176417.83278882012
2025-09-15,181813.59278882013
2025-09-16,182118.09278882013
2025-09-17,181373.6727888201
2025-09-18,185513.81278882013
2025-09-19,186231.2027888201
2025-09-22,191886.93278882012
2025-09-23,188732.7327888201
2025-09-24,183505.8527888201
2025-09-25,180057.62278882012
2025-09-26,179514.87278882012
2025-09-29,186163.36278882012
2025-09-30,185338.75278882013
2025-10-01,186939.43986288787
2025-10-02,198005.33986288786
2025-10-03,202540.20986288786
2025-10-06,203297.91986288785
2025-10-07,201254.06063858824
2025-10-08,202911.96398268949
2025-10-09,204903.9139826895
2025-10-10,195549.96398268949
2025-10-13,212287.57398268947
2025-10-14,207752.8739826895
2025-10-15,213106.52398268948
2025-10-16,203746.6839826895
2025-10-17,198145.9039826895
2025-10-20,196560.71398268949
2025-10-21,189414.21398268946
2025-10-22,180548.6239826895
2025-10-23,191798.58801552397
2025-10-24,196778.798015524
2025-10-27,198164.87801552398
2025-10-28,191382.09801552398
2025-10-29,201652.988015524
2025-10-30,201108.68801552398
2025-10-31,208833.358015524
2025-11-03,206078.27958571835
2025-11-04,195417.86958571835
2025-11-05,206951.41958571837
2025-11-06,199325.12958571836
2025-11-07,201447.77958571835
2025-11-10,208488.02958571838
2025-11-11,201824.17958571838
2025-11-12,197803.93150921687
2025-11-13,187999.27150921687
2025-11-14,189487.27823312886
2025-11-17,186666.40823312887
2025-11-18,186433.77823312886
2025-11-19,186015.06823312887
2025-11-20,173612.91823312888
2025-11-21,174875.75615741411
2025-11-24,186317.2861574141
2025-11-25,185669.9461574141
2025-11-26,186570.5861574141
2025-11-28,189644.08615741413
2025-12-01,189922.7742382705
2025-12-02,193181.9242382705
2025-12-03,195268.7042382705
2025-12-04,197242.4242382705
2025-12-05,199878.6542382705
2025-12-08,200569.22423827052
2025-12-09,202367.2442382705
2025-12-10,205210.8442382705
2025-12-11,204131.8042382705
2025-12-12,192934.8442382705
2025-12-15,188932.3642382705
2025-12-16,189053.62923827049
2025-12-17,181186.5442382705
2025-12-18,188588.0942382705
2025-12-19,196762.7842382705
2025-12-22,199932.6842382705
2025-12-23,199165.2142382705
2025-12-24,199976.7842382705
2025-12-26,198369.2842382705
2025-12-29,198727.3242382705
2025-12-30,197305.38423827052
2025-12-31,195151.9642382705
2026-01-02,201801.81734559115
2026-01-05,202291.17734559113
2026-01-06,210823.57734559113
2026-01-07,209905.50734559115
2026-01-08,203899.55734559114
2026-01-09,206967.9323455911
2026-01-12,213229.46734559114
2026-01-13,216888.50734559112
2026-01-14,213360.8773455911
2026-01-15,216281.3185218081
2026-01-16,217496.80852180813
2026-01-20,219413.7585218081
2026-01-21,227455.54852180812
2026-01-22,230596.07852180811
2026-01-23,227910.54852180812
2026-01-26,228079.27852180813
2026-01-27,233485.39852180812
2026-01-28,241492.65852180813
2026-01-29,238863.01852180812
2026-01-30,229751.46852180813
2026-02-02,236631.57742476472
2026-02-03,239449.47742476471
2026-02-04,218146.32742476472
2026-02-05,216428.80742476473
2026-02-06,231045.70742476473
2026-02-09,235125.15742476474
2026-02-10,226131.40742476474
2026-02-11,230721.37742476474
2026-02-12,229475.63742476472
2026-02-13,234493.02742476473
2026-02-17,234686.29742476472
2026-02-18,242660.85742476472
2026-02-19,245388.77742476473
2026-02-20,248884.85742476472
2026-02-23,248251.21742476473
2026-02-24,249639.14742476473
2026-02-25,256406.5074247647
2026-02-26,250127.22742476474
2026-02-27,247133.03742476474
2026-03-02,252633.1982472629
2026-03-03,237779.61824726287
2026-03-04,242607.7282472629
2026-03-05,234140.87824726288
2026-03-06,222946.95824726287
2026-03-09,233674.72367655236
2026-03-10,239204.01367655236
2026-03-11,241894.87367655235
2026-03-12,233524.76367655236
2026-03-13,235301.64367655234
2026-03-16,240796.79367655236
2026-03-17,247251.44367655236
2026-03-18,246237.52367655237
2026-03-19,251794.14367655234
2026-03-20,247154.03367655235
2026-03-23,247070.38367655236
2026-03-24,250792.14367655237
2026-03-25,253467.76367655236
2026-03-26,234089.31367655235
2026-03-27,232477.65367655235
2026-03-30,217295.37367655235
2026-03-31,229539.96367655235
2026-04-01,236746.41725356612
2026-04-02,246365.45725356613
2026-04-06,243721.4972535661
2026-04-07,245581.8772535661
2026-04-08,264313.4072535661
2026-04-09,263903.6472535661
2026-04-10,260920.54725356612
2026-04-13,270798.26725356607
2026-04-14,266690.63725356606
2026-04-15,264377.7414820781
2026-04-16,278437.9314820781
2026-04-17,280378.8514820781
2026-04-20,281915.9464820781
2026-04-21,279971.6314820781
2026-04-22,288696.4114820781
2026-04-23,284299.6114820781
2026-04-24,289040.6914820781
2026-04-27,288143.6214820781
2026-04-28,276455.9214820781
2026-04-29,284718.8614820781
2026-04-30,297155.2614820781
2026-05-01,309147.5348288001
2026-05-04,305811.1448288001
2026-05-05,326593.93482880015
2026-05-06,332395.26482880017
2026-05-07,309323.45482880017
2026-05-08,334515.99482880015
2026-05-11,345606.38482880016
2026-05-12,326076.93482880015
2026-05-13,335984.74482880015
2026-05-14,332130.4648288001
2026-05-15,324632.86482880014
2026-05-18,308497.5040466761
2026-05-19,312586.5540466761
2026-05-20,323816.7540466761
2026-05-21,338169.2240466761
2026-05-22,357639.42404667614
2026-05-26,373398.0440466761
2026-05-27,363654.3190466761
2026-05-28,363295.9040466761
2026-05-29,379068.4640466761
2026-06-01,376909.2779628674
2026-06-02,385487.82796286745
2026-06-03,397821.2279628674
2026-06-04,397920.76796286745
2026-06-05,349307.87796286744
2026-06-08,362433.0979628674
2026-06-09,346017.12296286743
2026-06-10,336802.96149011544
2026-06-11,362637.6214901154
2026-06-12,372885.70149011543
2026-06-15,395262.82149011537
2026-06-16,369285.6114901154
2026-06-17,375403.20149011543
2026-06-18,397217.1114901154
2026-06-22,406117.4314901154
2026-06-23,375238.4214901154
2026-06-24,365128.28149011545
2026-06-25,375059.4714901154
2026-06-26,362566.96149011544
2026-06-29,376217.4414901154
2026-06-30,397938.7814901154
2026-07-01,365891.64810604375
2026-07-02,335008.7481060438
2026-07-06,345738.1015933094
2026-07-07,321966.8115933094
2026-07-08,326251.3381687006
2026-07-09,338195.4331687006
2026-07-10,336233.3431687006
2026-07-13,315272.6831687006
2026-07-14,322449.14316870057
2026-07-15,310475.3331687006
2026-07-16,293141.0129890876
2026-07-17,288185.06644956185
2026-07-20,290252.12644956185
2026-07-21,304074.24644956185
2026-07-22,306802.45144956186
2026-07-23,301255.88644956186
2026-07-24,291528.92644956184
2026-07-27,286839.60644956183
2026-07-28,274282.61644956184
2026-07-29,270008.5890136886
2026-07-30,281964.65986235667
2026-07-31,277076.18986235664
2026-08-03,281316.0859239049
2026-08-04,294472.1459239049
2026-08-05,291455.07592390495
2026-08-06,281728.2159239049
2026-08-07,287254.56981118856
2026-08-10,294585.9598111885
