symbol,side,entry_ts,exit_ts,entry_px,exit_px,qty,gross_pnl,cost,net_pnl,return_pct,hold_days
GLD,LONG,2025-01-02 09:35:00,2025-06-02 09:35:00,244.22,309.21,409,26580.909999999993,251.03099165175,26329.87900834824,26.61125214970108,151.0
RBRK,LONG,2025-06-02 09:35:00,2025-06-23 09:35:00,95.15,86.0,303,-2772.4500000000016,95.45238676125001,-2867.902386761252,-9.616395165528125,21.0
PLTR,LONG,2025-06-02 09:35:00,2025-07-01 09:35:00,131.435,135.27,80,306.80000000000064,7.474674329999999,299.32532567000067,2.9177920645185873,29.0
ZS,LONG,2025-06-02 09:35:00,2025-07-01 09:35:00,276.62,314.5,73,2765.24,86.86772926200001,2678.3722707379998,13.693876075482603,29.0
RGTI,LONG,2025-06-02 09:35:00,2025-07-01 09:35:00,12.265,11.635,394,-248.2200000000003,10.443244815,-258.6632448150003,-5.136567468406039,29.0
QUBT,LONG,2025-06-02 09:35:00,2025-07-01 09:35:00,11.31,18.73,63,467.46,2.0988519930000002,465.361148007,65.60565870910698,29.0
MSTR,LONG,2025-06-02 09:35:00,2025-07-01 09:35:00,367.885,395.7,42,1168.23,23.177400939,1145.052599061,7.5607866588743855,29.0
GLD,LONG,2025-06-02 09:35:00,2025-07-01 09:35:00,309.21,308.555,1,-0.6549999999999727,0.685116829125,-1.3401168291249728,-0.2118301477959883,29.0
GLD,LONG,2025-06-23 09:35:00,2025-07-01 09:35:00,310.34,308.555,84,-149.93999999999733,57.65508229950001,-207.59508229949734,-0.575175613842871,8.0
DUOL,LONG,2025-06-02 09:35:00,2025-07-01 09:35:00,519.76,409.24,19,-2099.8799999999997,45.3065868,-2145.1865867999995,-21.26366015083885,29.0
RBLX,LONG,2025-07-01 09:35:00,2025-08-01 09:35:00,104.61,132.41,178,4948.4,46.789276779000005,4901.610723221,26.574897237357796,31.0
QBTS,LONG,2025-06-02 09:35:00,2025-08-01 09:35:00,16.235,16.51,108,29.70000000000023,3.922022551500001,25.77797744850023,1.6938712657838195,60.0
NVTS,LONG,2025-07-01 09:35:00,2025-08-01 09:35:00,6.37,7.015,1152,743.0399999999995,17.100633168,725.9393668319995,10.125588697017252,31.0
IONQ,LONG,2025-06-02 09:35:00,2025-08-01 09:35:00,40.01,38.94,127,-135.89000000000004,11.11980551625,-147.00980551625005,-2.6743314171457144,60.0
IONQ,LONG,2025-07-01 09:35:00,2025-08-01 09:35:00,42.37,38.94,215,-737.4499999999999,19.387586891250002,-756.8375868912499,-8.095350483832897,31.0
GEV,LONG,2025-06-02 09:35:00,2025-08-01 09:35:00,475.0,638.18,49,7995.819999999998,81.44236384199999,7914.377636157998,34.35368421052631,60.0
GEV,LONG,2025-07-01 09:35:00,2025-08-01 09:35:00,525.16,638.18,11,1243.2199999999998,19.106812493999996,1224.1131875059998,21.521060248305268,31.0
SMCI,LONG,2025-08-01 09:35:00,2025-08-07 09:35:00,57.1101,47.15,332,-3306.7532000000015,14.540624420490001,-3321.2938244204915,-17.44017257893088,6.0
SBET,LONG,2025-07-01 09:35:00,2025-09-02 09:35:00,9.97,17.48,248,1862.48,7.549798590000001,1854.93020141,75.3259779338014,63.0
SBET,LONG,2025-08-01 09:35:00,2025-09-02 09:35:00,18.045,17.48,32,-18.08000000000004,1.2607396200000003,-19.34073962000004,-3.1310612357993928,32.0
QUBT,LONG,2025-06-02 09:35:00,2025-09-02 09:35:00,11.31,15.25,305,1201.6999999999998,8.98398972,1192.7160102799999,34.8364279398762,92.0
QUBT,LONG,2025-08-01 09:35:00,2025-09-02 09:35:00,14.2,15.25,657,689.8500000000005,21.45813656625,668.3918634337505,7.3943661971831,32.0
QBTS,LONG,2025-06-02 09:35:00,2025-09-02 09:35:00,16.235,15.155,100,-108.0,3.481229475,-111.481229475,-6.6522944256236505,92.0
QBTS,LONG,2025-07-01 09:35:00,2025-09-02 09:35:00,15.2,15.155,574,-25.82999999999996,19.32339652425,-45.153396524249956,-0.2960526315789469,63.0
GLD,LONG,2025-08-07 09:35:00,2025-09-02 09:35:00,311.72,320.82,50,454.9999999999983,35.075133675000004,419.9248663249983,2.9192865392018374,26.0
CRDO,LONG,2025-07-01 09:35:00,2025-09-02 09:35:00,90.79,121.91,74,2302.879999999999,17.455831695000004,2285.424168304999,34.27690274259278,63.0
BBAI,LONG,2025-07-01 09:35:00,2025-09-02 09:35:00,7.15,4.95,848,-1865.6000000000001,11.379483720000003,-1876.9794837200002,-30.76923076923077,63.0
BBAI,LONG,2025-08-01 09:35:00,2025-09-02 09:35:00,6.045,4.95,1081,-1183.6949999999997,13.181421994875002,-1196.8764219948748,-18.114143920595527,32.0
AMD,LONG,2025-08-01 09:35:00,2025-09-02 09:35:00,170.16,158.42,42,-493.0800000000004,12.032188875,-505.11218887500036,-6.899388810531271,32.0
ALAB,LONG,2025-08-01 09:35:00,2025-09-02 09:35:00,126.565,177.13,44,2224.8599999999997,34.8312350925,2190.0287649075,39.951803421167,32.0
RBLX,LONG,2025-07-01 09:35:00,2025-09-02 09:35:00,104.61,121.21,150,2489.999999999999,37.566003824999996,2452.4339961749993,15.86846381799063,63.0
MDB,LONG,2025-09-02 09:35:00,2025-10-01 09:35:00,310.0,310.745,22,16.3900000000001,94.51894787775,-78.1289478777499,0.2403225806451692,29.0
WDC,LONG,2025-09-02 09:35:00,2025-10-01 09:35:00,78.515,118.175,263,10430.58,53.900814503250004,10376.67918549675,50.51264089664396,29.0
RDDT,LONG,2025-09-02 09:35:00,2025-10-01 09:35:00,219.98,213.0,80,-558.3999999999992,54.11124251999999,-612.5112425199992,-3.1730157287025995,29.0
ZETA,LONG,2025-09-02 09:35:00,2025-10-01 09:35:00,18.89,20.65,480,844.799999999999,21.04840728,823.751592719999,9.31709899417681,29.0
GLD,LONG,2025-09-02 09:35:00,2025-10-01 09:35:00,320.82,356.17,1,35.35000000000002,0.7507988347500001,34.59920116525002,11.018639735677338,29.0
CRDO,LONG,2025-07-01 09:35:00,2025-10-01 09:35:00,90.79,144.77,57,3076.86,14.890789953000002,3061.969210047,59.45588721224804,92.0
CRDO,LONG,2025-08-01 09:35:00,2025-10-01 09:35:00,105.48,144.77,55,2160.9500000000003,15.264342843750002,2145.6856571562503,37.24876753886994,61.0
APLD,LONG,2025-07-01 09:35:00,2025-10-01 09:35:00,10.0,22.83,187,2399.2099999999996,6.808537370250001,2392.4014626297494,128.29999999999998,92.0
AMD,LONG,2025-08-01 09:35:00,2025-10-01 09:35:00,170.16,160.93,129,-1190.6699999999987,37.23831309375,-1227.9083130937488,-5.424306535025847,61.0
APP,LONG,2025-10-01 09:35:00,2025-10-07 09:35:00,714.835,595.215,39,-4665.18,56.66224984875001,-4721.842249848751,-16.73393160659453,6.0
SBET,LONG,2025-10-01 09:35:00,2025-10-23 09:35:00,17.52,13.65,1036,-4009.3199999999993,35.812768383000005,-4045.132768382999,-22.089041095890405,22.0
U,LONG,2025-09-02 09:35:00,2025-11-03 09:35:00,38.0,38.0,399,0.0,22.849892099999998,-22.849892099999998,0.0,62.0
U,LONG,2025-10-01 09:35:00,2025-11-03 09:35:00,40.09,38.0,161,-336.4900000000006,9.47368552725,-345.96368552725056,-5.213270142180104,33.0
WDC,LONG,2025-09-02 09:35:00,2025-11-03 09:35:00,78.515,152.07,110,8091.049999999999,26.42901859125,8064.62098140875,93.68273578297139,62.0
RGTI,LONG,2025-10-01 09:35:00,2025-11-03 09:35:00,29.1,44.31,224,3407.04,18.236629656000005,3388.803370344,52.268041237113394,33.0
QBTS,LONG,2025-10-01 09:35:00,2025-11-03 09:35:00,24.39,37.42,296,3856.88,20.290455234,3836.589544766,53.42353423534236,33.0
GLD,LONG,2025-10-08 09:35:00,2025-11-03 09:35:00,371.65,368.91,63,-172.619999999997,51.741871902,-224.361871901997,-0.737252791604992,26.0
GLD,LONG,2025-10-23 09:35:00,2025-11-03 09:35:00,381.46,368.91,37,-464.3499999999983,30.790626302250004,-495.14062630224834,-3.28999108687672,11.0
APLD,LONG,2025-07-01 09:35:00,2025-11-03 09:35:00,10.0,35.39,123,3122.9700000000003,6.191653304250001,3116.7783466957503,253.9,125.0
ALAB,LONG,2025-08-01 09:35:00,2025-11-03 09:35:00,126.565,191.385,49,3176.18,40.61004451875,3135.56995548125,51.214790818946774,94.0
ALAB,LONG,2025-10-01 09:35:00,2025-11-03 09:35:00,191.79,191.385,41,-16.605000000000047,40.950534909375,-57.55553490937505,-0.21116846550914836,33.0
SNDK,LONG,2025-10-01 09:35:00,2025-11-03 09:35:00,113.06,210.85,60,5867.4,30.150352575,5837.249647424999,86.49389704581638,33.0
P,LONG,2025-11-03 09:35:00,2025-11-12 09:35:00,100.0,88.28,373,-4371.5599999999995,77.88509567100002,-4449.445095671,-11.719999999999997,9.0
NXT,LONG,2025-11-03 09:35:00,2025-11-14 09:35:00,104.13,84.27,246,-4885.5599999999995,114.19637093999998,-4999.756370939999,-19.072313454335934,11.0
INTC,LONG,2025-11-03 09:35:00,2025-11-14 09:35:00,40.25,35.025,916,-4786.100000000001,16.87942512,-4802.979425120001,-12.981366459627331,11.0
MU,LONG,2025-11-03 09:35:00,2025-11-21 09:35:00,233.875,204.53,122,-3580.0899999999997,33.10613165475,-3613.1961316547495,-12.547300908605019,18.0
