symbol,side,entry_ts,exit_ts,entry_px,exit_px,qty,gross_pnl,cost,net_pnl,return_pct,hold_days
APP,LONG,2025-02-03 09:35:00,2025-03-03 09:35:00,353.51,350.24,56,-183.11999999999898,43.70667525,-226.82667524999897,-0.9250091935164462,28.0
CEG,LONG,2025-02-03 09:35:00,2025-03-03 09:35:00,285.4,249.38,70,-2521.3999999999987,41.515907265,-2562.9159072649986,-12.620882971268388,28.0
COIN,LONG,2025-02-03 09:35:00,2025-03-03 09:35:00,272.98,232.23,73,-2974.7500000000023,31.10948036325,-3005.8594803632523,-14.927833540918755,28.0
PLTR,LONG,2025-02-03 09:35:00,2025-03-03 09:35:00,80.125,88.55,26,219.04999999999993,1.5363678037499997,217.51363219624992,10.514820592823714,28.0
SPOT,LONG,2025-02-03 09:35:00,2025-03-03 09:35:00,538.92,610.6,5,358.4000000000003,8.75891133,349.64108867000033,13.300675424923924,28.0
TMUS,LONG,2025-03-03 09:35:00,2025-04-01 09:35:00,269.29,265.95,2,-6.680000000000064,1.0689278039999999,-7.748927804000063,-1.2402985628876095,29.0
BABA,LONG,2025-03-03 09:35:00,2025-04-01 09:35:00,134.01,132.75,4,-5.039999999999964,1.183374036,-6.223374035999964,-0.9402283411685586,29.0
MSTR,LONG,2025-03-03 09:35:00,2025-04-01 09:35:00,293.15,293.53,67,25.459999999999695,28.407573612,-2.947573612000305,0.12962647108989422,29.0
BABA,LONG,2025-03-03 09:35:00,2025-05-01 09:35:00,134.01,120.19,143,-1976.259999999999,40.313724164999996,-2016.573724164999,-10.312663234087005,59.0
PLTR,LONG,2025-02-03 09:35:00,2025-05-01 09:35:00,80.125,120.04,223,8901.045000000002,15.637385208375001,8885.407614791628,49.815912636505466,87.0
PLTR,LONG,2025-04-01 09:35:00,2025-05-01 09:35:00,83.89,120.04,4,144.60000000000002,0.285767109,144.31423289100002,43.092144474907634,30.0
TMUS,LONG,2025-03-03 09:35:00,2025-05-01 09:35:00,269.29,245.27,71,-1705.4200000000008,36.480786048,-1741.9007860480008,-8.919751940287423,59.0
GEV,LONG,2025-05-01 09:35:00,2025-06-02 09:35:00,383.34,475.0,5,458.3000000000001,6.40793727,451.89206273000013,23.910888506286867,32.0
SPOT,LONG,2025-02-03 09:35:00,2025-06-02 09:35:00,538.92,660.0,32,3874.5600000000013,58.466053151999986,3816.0939468480015,22.46715653529281,119.0
SPOT,LONG,2025-04-01 09:35:00,2025-06-02 09:35:00,547.2,660.0,2,225.5999999999999,3.67936452,221.9206354799999,20.614035087719284,62.0
NFLX,LONG,2025-05-01 09:35:00,2025-06-02 09:35:00,1122.52,1201.2,18,1416.2400000000011,7.030066302,1409.2099336980011,7.009229234223002,32.0
APP,LONG,2025-04-01 09:35:00,2025-06-02 09:35:00,264.22,392.31,13,1665.1699999999996,9.465406382250002,1655.7045936177497,48.47854061009764,62.0
PLTR,LONG,2025-06-02 09:35:00,2025-07-01 09:35:00,131.435,135.27,1,3.835000000000008,0.093433429125,3.741566570875008,2.9177920645185873,29.0
GEV,LONG,2025-05-01 09:35:00,2025-07-01 09:35:00,383.34,525.16,3,425.46,4.0694440499999995,421.39055594999996,36.99587833255074,61.0
