ts,symbol,side,qty,price,cost,venue
2025-02-03 09:35:00,APP,BUY,42,353.51,16.4661599655,XNAS
2025-02-03 09:35:00,PLTR,BUY,187,80.125,5.249050846875,XNAS
2025-02-03 09:35:00,SPOT,BUY,27,538.92,22.174388846999996,XNYS
2025-02-03 09:35:00,CEG,BUY,52,285.4,16.45881822,XNAS
2025-02-03 09:35:00,COIN,BUY,54,272.98,12.434334543000002,XNAS
2025-03-03 09:35:00,APP,SELL,42,350.24,16.313846472,XNAS
2025-03-03 09:35:00,CEG,SELL,52,249.38,14.381570034000001,XNAS
2025-03-03 09:35:00,COIN,SELL,54,232.23,10.5781577805,XNAS
2025-03-03 09:35:00,PLTR,SELL,19,88.55,0.58940429625,XNAS
2025-03-03 09:35:00,SPOT,SELL,3,610.6,2.791525815,XNYS
2025-03-03 09:35:00,MSTR,BUY,50,293.15,10.592975249999999,XNAS
2025-03-03 09:35:00,BABA,BUY,111,134.01,16.49686886775,XNYS
2025-03-03 09:35:00,TMUS,BUY,55,269.29,14.7894741225,XNAS
2025-04-01 09:35:00,MSTR,SELL,50,293.53,10.60670655,XNAS
2025-04-01 09:35:00,PLTR,BUY,4,83.89,0.117555057,XNAS
2025-04-01 09:35:00,SPOT,BUY,2,547.2,1.6677835200000002,XNYS
2025-04-01 09:35:00,BABA,SELL,2,132.75,0.29444613750000004,XNYS
2025-04-01 09:35:00,TMUS,SELL,1,265.95,0.2655643725,XNAS
2025-04-01 09:35:00,APP,BUY,54,264.22,15.823435617000001,XNAS
2025-05-01 09:35:00,BABA,SELL,109,120.19,14.529014907750001,XNYS
2025-05-01 09:35:00,PLTR,SELL,172,120.04,7.233118236000001,XNAS
2025-05-01 09:35:00,TMUS,SELL,54,245.27,13.225375359000001,XNAS
2025-05-01 09:35:00,SPOT,SELL,1,606.1,0.9236509425,XNYS
2025-05-01 09:35:00,MSTR,BUY,39,392.29,11.056811337000003,XNAS
2025-05-01 09:35:00,GEV,BUY,40,383.34,22.89459816,XNYS
2025-05-01 09:35:00,NFLX,BUY,13,1122.52,2.452678137,XNAS
2025-06-02 09:35:00,NFLX,SELL,13,1201.2,2.62459197,XNAS
2025-06-02 09:35:00,SPOT,SELL,25,660.0,25.1447625,XNYS
2025-06-02 09:35:00,APP,SELL,11,392.31,4.78589757525,XNAS
2025-06-02 09:35:00,GEV,SELL,5,475.0,3.5461125,XNYS
2025-06-02 09:35:00,MSTR,BUY,7,367.885,1.8610934265,XNAS
2025-06-02 09:35:00,PLTR,BUY,129,131.435,5.939800662375001,XNAS
2025-06-02 09:35:00,CVNA,BUY,52,326.24,11.657142431999999,XNYS
2025-07-01 09:35:00,PLTR,SELL,1,135.27,0.04738846275,XNAS
2025-07-01 09:35:00,APP,BUY,7,347.0,2.6938217250000003,XNAS
2025-07-01 09:35:00,GEV,SELL,2,525.16,1.5682327919999999,XNYS
2025-07-01 09:35:00,MSTR,SELL,3,395.7,0.8579171699999999,XNAS
2025-07-01 09:35:00,CVNA,SELL,1,335.9,0.23081368499999994,XNYS
2025-08-01 09:35:00,MSTR,SELL,43,390.405,12.1322648205,XNAS
2025-08-01 09:35:00,PLTR,SELL,7,155.05,0.3802252387500001,XNAS
2025-08-01 09:35:00,APP,SELL,1,377.46,0.4186125765,XNAS
2025-08-01 09:35:00,GEV,SELL,4,638.18,3.8114662319999995,XNYS
2025-08-01 09:35:00,CVNA,SELL,2,380.99,0.523594557,XNYS
2025-08-01 09:35:00,HOOD,BUY,192,97.8,9.45546048,XNAS
2025-09-02 09:35:00,CVNA,SELL,49,362.04,12.190013514000002,XNYS
2025-09-02 09:35:00,APP,SELL,8,464.0,4.1167008,XNAS
2025-09-02 09:35:00,PLTR,BUY,5,151.2,0.26484569999999996,XNAS
2025-09-02 09:35:00,HOOD,SELL,2,100.34,0.101052414,XNAS
2025-09-02 09:35:00,GEV,BUY,3,590.55,2.645250615,XNYS
2025-09-02 09:35:00,RDDT,BUY,86,219.98,29.553664058999995,XNYS
2025-10-01 09:35:00,HOOD,SELL,32,141.26,2.276207136,XNAS
2025-10-01 09:35:00,APP,SELL,10,714.835,7.927698858750002,XNAS
2025-10-01 09:35:00,PLTR,SELL,3,181.32,0.190562787,XNAS
2025-10-01 09:35:00,RDDT,BUY,18,213.0,5.989378949999999,XNYS
2025-10-01 09:35:00,GEV,BUY,5,599.64,4.4766124199999995,XNYS
2025-11-03 09:35:00,GEV,SELL,37,590.5,32.62199535,XNYS
2025-11-03 09:35:00,HOOD,SELL,7,148.79,0.5244624315,XNAS
2025-11-03 09:35:00,PLTR,SELL,13,205.045,0.933821065125,XNAS
2025-11-03 09:35:00,APP,BUY,3,646.985,2.152567618875,XNAS
2025-11-03 09:35:00,RDDT,BUY,2,211.06,0.659425311,XNYS
2025-11-03 09:35:00,SNOW,BUY,81,277.73,49.43693288475,XNYS
2025-12-01 09:35:00,APP,SELL,34,588.13,22.1765296905,XNAS
2025-12-01 09:35:00,RDDT,SELL,106,211.72,35.058831246,XNYS
2025-12-01 09:35:00,SNOW,SELL,81,249.09,44.338910496749996,XNYS
2025-12-01 09:35:00,HOOD,BUY,16,123.45,0.99461196,XNAS
2025-12-01 09:35:00,PLTR,BUY,15,165.0,0.867054375,XNAS
2025-12-01 09:35:00,LITE,BUY,65,314.99,27.902956038750006,XNAS
2025-12-01 09:35:00,AVGO,BUY,52,394.85,7.10516781,XNAS
2025-12-01 09:35:00,MU,BUY,89,232.285,12.796296100874999,XNAS
2026-01-02 09:35:00,AVGO,SELL,52,352.775,6.348045014999999,XNAS
2026-01-02 09:35:00,LITE,SELL,8,379.38,4.136228388,XNAS
2026-01-02 09:35:00,MU,SELL,15,295.125,2.740124953125,XNAS
2026-01-02 09:35:00,HOOD,BUY,22,115.478,1.2792768318,XNAS
2026-01-02 09:35:00,PLTR,SELL,5,181.3,0.3175696125,XNAS
2026-01-02 09:35:00,APP,BUY,32,683.37,24.251981256,XNAS
2026-02-02 09:35:00,APP,SELL,32,502.55,17.83489644,XNAS
2026-02-02 09:35:00,HOOD,SELL,189,95.88,9.124990686,XNAS
2026-02-02 09:35:00,LITE,SELL,57,405.49,31.498878827250003,XNAS
2026-02-02 09:35:00,PLTR,SELL,120,150.94,6.34536666,XNAS
2026-02-02 09:35:00,MU,SELL,22,412.18,5.612840541000001,XNAS
