symbol,side,entry_ts,exit_ts,entry_px,exit_px,qty,gross_pnl,cost,net_pnl,return_pct,hold_days
APP,LONG,2025-02-03 09:35:00,2025-03-03 09:35:00,353.51,350.24,42,-137.33999999999924,32.780006437500006,-170.12000643749923,-0.9250091935164462,28.0
CEG,LONG,2025-02-03 09:35:00,2025-03-03 09:35:00,285.4,249.38,52,-1873.039999999999,30.840388254000004,-1903.8803882539992,-12.620882971268388,28.0
COIN,LONG,2025-02-03 09:35:00,2025-03-03 09:35:00,272.98,232.23,54,-2200.5000000000014,23.012492323500002,-2223.512492323501,-14.927833540918755,28.0
PLTR,LONG,2025-02-03 09:35:00,2025-03-03 09:35:00,80.125,88.55,19,160.07499999999993,1.122730318125,158.95226968187492,10.514820592823714,28.0
SPOT,LONG,2025-02-03 09:35:00,2025-03-03 09:35:00,538.92,610.6,3,215.0400000000002,5.255346798,209.7846532020002,13.300675424923924,28.0
TMUS,LONG,2025-03-03 09:35:00,2025-04-01 09:35:00,269.29,265.95,1,-3.340000000000032,0.5344639019999999,-3.8744639020000315,-1.2402985628876095,29.0
BABA,LONG,2025-03-03 09:35:00,2025-04-01 09:35:00,134.01,132.75,2,-2.519999999999982,0.591687018,-3.111687017999982,-0.9402283411685586,29.0
MSTR,LONG,2025-03-03 09:35:00,2025-04-01 09:35:00,293.15,293.53,50,18.999999999999773,21.1996818,-2.199681800000228,0.12962647108989422,29.0
BABA,LONG,2025-03-03 09:35:00,2025-05-01 09:35:00,134.01,120.19,109,-1506.3799999999992,30.728642895,-1537.108642894999,-10.312663234087005,59.0
PLTR,LONG,2025-02-03 09:35:00,2025-05-01 09:35:00,80.125,120.04,168,6705.720000000001,11.780631009,6693.939368991001,49.815912636505466,87.0
PLTR,LONG,2025-04-01 09:35:00,2025-05-01 09:35:00,83.89,120.04,4,144.60000000000002,0.285767109,144.31423289100002,43.092144474907634,30.0
TMUS,LONG,2025-03-03 09:35:00,2025-05-01 09:35:00,269.29,245.27,54,-1297.0800000000006,27.745949952,-1324.8259499520007,-8.919751940287423,59.0
