date,equity
2024-01-02,1000000.0
2024-01-03,1000000.0
2024-01-04,1000000.0
2024-01-05,999000.0475209351
2024-01-08,1011930.0540516968
2024-01-09,1013401.3816644591
2024-01-10,1012646.9867364806
2024-01-11,1016448.6987420958
2024-01-12,1019887.4791681212
2024-01-16,1022597.1404840392
2024-01-17,1013790.9502336425
2024-01-18,1033926.2976304931
2024-01-19,1054623.0556272888
2024-01-22,1054903.419030609
2024-01-23,1059628.9446348571
2024-01-24,1064190.0536741638
2024-01-25,1066332.567613144
2024-01-26,1055041.8290877533
2024-01-29,1064822.656826889
2024-01-30,1060516.6884736174
2024-01-31,1052794.8339954528
2024-02-01,1063110.0472980652
2024-02-02,1067803.393596283
2024-02-05,1074893.870967041
2024-02-06,1071966.5994216308
2024-02-07,1082108.589715515
2024-02-08,1088996.0420928344
2024-02-09,1098468.273423462
2024-02-12,1094933.3630230713
2024-02-13,1077354.776383667
2024-02-14,1087365.7577069092
2024-02-15,1089379.0486049803
2024-02-16,1089208.619588867
2024-02-20,1082411.7027187499
2024-02-21,1079143.3795634308
2024-02-22,1114745.66195784
2024-02-23,1114436.4719641877
2024-02-26,1117581.315119095
2024-02-27,1115398.1749520416
2024-02-28,1110501.5869240875
2024-02-29,1125077.0133040925
2024-03-01,1158024.3275588532
2024-03-04,1176697.3160910644
2024-03-05,1171736.6885733642
2024-03-06,1191128.7072027894
2024-03-07,1214401.2757910462
2024-03-08,1196465.9533928223
2024-03-11,1187374.9762352295
2024-03-12,1198380.220544281
2024-03-13,1191368.4744963073
2024-03-14,1178632.782052841
2024-03-15,1172499.439752426
2024-03-18,1174612.38274559
2024-03-19,1172671.6289003752
2024-03-20,1188947.5217378996
2024-03-21,1201244.3489778899
2024-03-22,1199694.9929698943
2024-03-25,1200271.1291240691
2024-03-26,1196958.596500778
2024-03-27,1201285.7391228331
2024-03-28,1209598.6480278624
2024-04-01,1223612.9695211945
2024-04-02,1225460.9952627716
2024-04-03,1233422.8754171447
2024-04-04,1213972.2187398986
2024-04-05,1232072.5060324555
2024-04-08,1237177.1378989106
2024-04-09,1243481.9726157074
2024-04-10,1232170.2447714692
2024-04-11,1258348.500569809
2024-04-12,1232076.5997824555
2024-04-15,1235314.5533882598
2024-04-16,1241008.75512471
2024-04-17,1217833.1613136749
2024-04-18,1209707.9481954803
2024-04-19,1185461.6806173553
2024-04-22,1180478.7968936614
2024-04-23,1192310.4132724456
2024-04-24,1191824.1623385772
2024-04-25,1206956.2932589874
2024-04-26,1223910.8633971557
2024-04-29,1224615.1507811889
2024-04-30,1200375.344277893
2024-05-01,1189177.0111327514
2024-05-02,1198512.2176330262
2024-05-03,1213476.384884613
2024-05-06,1233401.6419999846
2024-05-07,1225295.1279008635
2024-05-08,1225198.4836442717
2024-05-09,1231466.8363969573
2024-05-10,1245527.631132965
2024-05-13,1238166.023848419
2024-05-14,1253797.7420851593
2024-05-15,1280239.7663008575
2024-05-16,1273155.6920546417
2024-05-17,1278944.0973891143
2024-05-20,1294143.5822610015
2024-05-21,1292282.6846322173
2024-05-22,1285013.7757424468
2024-05-23,1280359.6352771607
2024-05-24,1292354.9059070435
2024-05-28,1313614.4677496948
2024-05-29,1296714.7004157105
2024-05-30,1289470.5436469116
2024-05-31,1280963.2807635346
2024-06-03,1294571.8578051606
2024-06-04,1286290.6837481537
2024-06-05,1324372.1825427094
2024-06-06,1324218.9004681702
2024-06-07,1299144.7653668518
2024-06-10,1314396.3328018645
2024-06-11,1315411.528358505
2024-06-12,1335996.9609146575
2024-06-13,1340523.3847136993
2024-06-14,1351194.145013382
2024-06-17,1358572.3003811492
2024-06-18,1371644.2355160369
2024-06-20,1361716.676190384
2024-06-21,1340957.0832948762
2024-06-24,1321581.378003128
2024-06-25,1332655.6613289947
2024-06-26,1324160.8245217437
2024-06-27,1326933.4489419097
2024-06-28,1331490.0987115784
2024-07-01,1334053.38057193
2024-07-02,1340443.9179864808
2024-07-03,1362952.9377618714
2024-07-05,1372660.1331552428
2024-07-08,1374776.991217987
2024-07-09,1377417.2110906066
2024-07-10,1395580.3686986389
2024-07-11,1383643.929545044
2024-07-12,1391598.0604959717
2024-07-15,1392393.1856452636
2024-07-16,1406523.906256836
2024-07-17,1355469.4607168732
2024-07-18,1354348.9799124298
2024-07-19,1322851.7947622833
2024-07-22,1347580.9241873322
2024-07-23,1342667.297753723
2024-07-24,1305134.0191434936
2024-07-25,1283043.2833115386
2024-07-26,1299832.2787644195
2024-07-29,1294433.5486313628
2024-07-30,1277386.1633316802
2024-07-31,1335303.8506252747
2024-08-01,1291455.493905304
2024-08-02,1257426.9376648255
2024-08-05,1234982.8903473206
2024-08-06,1241275.8232281036
2024-08-07,1224428.8102886504
2024-08-08,1271349.9499642486
2024-08-09,1272810.245008194
2024-08-12,1289895.0411355132
2024-08-13,1313878.3919142303
2024-08-14,1308841.6183088836
2024-08-15,1337612.9455946502
2024-08-16,1353717.22015744
2024-08-19,1364755.4712865904
2024-08-20,1358695.4565147094
2024-08-21,1364507.6750968627
2024-08-22,1334475.6571089781
2024-08-23,1358264.8615920104
2024-08-26,1345117.453757309
2024-08-27,1353503.1743993987
2024-08-28,1337612.150580429
2024-08-29,1333288.6633672942
2024-08-30,1343061.6903676605
2024-09-03,1291682.0724782562
2024-09-04,1290625.9476516112
2024-09-05,1295141.7047316893
2024-09-06,1264573.6411786193
2024-09-09,1281057.2399640197
2024-09-10,1289821.4699430543
2024-09-11,1320715.7798795777
2024-09-12,1333848.7958470916
2024-09-13,1348982.9919835662
2024-09-16,1340411.3085729217
2024-09-17,1336319.4032994842
2024-09-18,1323668.9333592986
2024-09-19,1361862.6058141326
2024-09-20,1362045.2102845002
2024-09-23,1366304.0215027619
2024-09-24,1388441.60280159
2024-09-25,1393326.494586258
2024-09-26,1416403.341061554
2024-09-27,1397428.2330903625
2024-09-30,1385412.8555700073
2024-10-01,1375173.4658147583
2024-10-02,1384622.6923296812
2024-10-03,1390239.9106524352
2024-10-04,1397771.423027313
2024-10-07,1396415.34472171
2024-10-08,1402672.1631878966
2024-10-09,1405819.3723335417
2024-10-10,1409863.9843940886
2024-10-11,1423292.6179390105
2024-10-14,1434210.551989792
2024-10-15,1399603.6955597382
2024-10-16,1403723.4827210389
2024-10-17,1419699.9321076355
2024-10-18,1427304.8546796264
2024-10-21,1430779.337635559
2024-10-22,1435650.0157666625
2024-10-23,1419315.0860181274
2024-10-24,1427874.0028424682
2024-10-25,1437305.9806462554
2024-10-28,1432564.304025772
2024-10-29,1456273.934518936
2024-10-30,1443420.7062779693
2024-10-31,1407080.132294754
2024-11-01,1412655.9654704132
2024-11-04,1412344.7190253295
2024-11-05,1425211.0673529662
2024-11-06,1420837.3691262663
2024-11-07,1449331.5535287322
2024-11-08,1439754.4815530241
2024-11-11,1406707.455368942
2024-11-12,1395954.29536528
2024-11-13,1377355.7207506255
2024-11-14,1376955.3531358794
2024-11-15,1353716.8628404692
2024-11-18,1371497.9290854644
2024-11-19,1385082.2712180328
2024-11-20,1384665.05036232
2024-11-21,1400398.9611402436
2024-11-22,1405743.7956128998
2024-11-25,1381389.9546757964
2024-11-26,1376688.2918339996
2024-11-27,1369645.7633024445
2024-11-29,1386493.7562376251
2024-12-02,1396042.4893003693
2024-12-03,1398965.3082355042
2024-12-04,1412549.8450549622
2024-12-05,1395447.5621487885
2024-12-06,1396552.3429410248
2024-12-09,1396901.6433255463
2024-12-10,1389817.4369614106
2024-12-11,1413031.434901474
2024-12-12,1395700.97302182
2024-12-13,1403768.7346795348
2024-12-16,1415813.708750183
2024-12-17,1404161.9431709594
2024-12-18,1368712.5219978637
2024-12-19,1361339.4122927857
2024-12-20,1379228.1298220826
2024-12-23,1396688.9440615845
2024-12-24,1403980.4084538422
2024-12-26,1407728.439429184
2024-12-27,1395897.9119938812
2024-12-30,1383528.3547812805
2024-12-31,1381255.076247345
2025-01-02,1398184.9373763886
2025-01-03,1411905.3641952362
2025-01-06,1433857.565254135
2025-01-07,1421686.7791365813
2025-01-08,1420855.7293195038
2025-01-10,1414264.3885297088
2025-01-13,1399953.8723878479
2025-01-14,1405972.0307588195
2025-01-15,1427298.8000764465
2025-01-16,1435351.5246282043
2025-01-17,1447664.5834508361
2025-01-21,1470442.6189118652
2025-01-22,1487225.0855866699
2025-01-23,1485267.3030769958
2025-01-24,1475860.812964691
2025-01-27,1399003.8374084472
2025-01-28,1418510.793722534
2025-01-29,1413066.3069355926
2025-01-30,1440160.7168782195
2025-01-31,1437246.2869465789
2025-02-03,1427531.5530598601
2025-02-04,1442528.5202589568
2025-02-05,1463441.7603712615
2025-02-06,1464893.1397859955
2025-02-07,1456767.4070894623
2025-02-10,1482760.4676493378
2025-02-11,1480657.7581156464
2025-02-12,1477584.681180832
2025-02-13,1494891.679807541
2025-02-14,1485224.0140665742
2025-02-18,1508258.9212851105
2025-02-19,1511857.703511673
2025-02-20,1513562.788442093
2025-02-21,1490773.719136673
2025-02-24,1476428.8125139617
2025-02-25,1451255.4561907195
2025-02-26,1468625.650892868
2025-02-27,1413287.6071280364
2025-02-28,1420482.5975149993
2025-03-03,1401149.3823913422
2025-03-04,1414179.9627441254
2025-03-05,1428284.4186920014
2025-03-06,1395518.775882431
2025-03-07,1412079.8468815766
2025-03-10,1373530.3369510346
2025-03-11,1380951.954108017
2025-03-12,1403440.590334671
2025-03-13,1413432.9663417512
2025-03-14,1435165.7025778503
2025-03-17,1446469.6462881775
2025-03-18,1444466.134599945
2025-03-19,1453619.6393044128
2025-03-20,1451547.704245819
2025-03-21,1438479.0271523132
2025-03-24,1453121.189337982
2025-03-25,1453380.6191939393
2025-03-26,1429549.725700287
2025-03-27,1426682.9571236572
2025-03-28,1414636.9868477783
2025-03-31,1423134.2725325928
2025-04-01,1424965.073802124
2025-04-02,1431648.0872298584
2025-04-03,1367311.96626297
2025-04-04,1301120.887558136
2025-04-07,1299954.7682878722
2025-04-08,1286929.850761627
2025-04-09,1416205.4421129455
2025-04-10,1387053.6401109924
2025-04-11,1417829.1148891905
2025-04-14,1414637.5142422179
2025-04-15,1422900.6222439269
2025-04-16,1417902.9807186583
2025-04-17,1408360.320492569
2025-04-21,1414510.4972503814
2025-04-22,1418070.6474521025
2025-04-23,1425254.7181002959
2025-04-24,1471342.7866378326
2025-04-25,1473188.0220809479
2025-04-28,1479499.5266847229
2025-04-29,1470794.2163819885
2025-04-30,1468431.2241029358
2025-05-01,1456130.2180666656
2025-05-02,1479607.1876406402
2025-05-05,1497578.5075706786
2025-05-06,1512725.22592395
2025-05-07,1515354.9771426239
2025-05-08,1506220.810760788
2025-05-09,1516594.973190506
2025-05-12,1540007.1832124786
2025-05-13,1569729.6795572357
2025-05-14,1560018.5757669525
2025-05-15,1570123.2467316284
2025-05-16,1558090.487576355
2025-05-19,1567228.5739563599
2025-05-20,1581007.7910431519
2025-05-21,1574697.1595708313
2025-05-22,1565376.439539093
2025-05-23,1572602.794214386
2025-05-27,1582104.507680847
2025-05-28,1572151.5096034545
2025-05-29,1582344.1565761107
2025-05-30,1563494.973760559
2025-06-02,1596270.8483717956
2025-06-03,1606210.0275099792
2025-06-04,1620801.3443545531
2025-06-05,1615156.3870791625
2025-06-06,1608327.7376956176
2025-06-09,1625270.2496588745
2025-06-10,1641030.0492804565
2025-06-11,1645017.5028229065
2025-06-12,1659466.6822052307
2025-06-13,1652238.1614837951
2025-06-16,1658991.132670044
2025-06-17,1654023.2372232666
2025-06-18,1652398.9394937744
2025-06-20,1645026.9206949463
2025-06-23,1652641.8991495362
2025-06-24,1668193.5345865479
2025-06-25,1681779.036642273
2025-06-26,1686676.841177185
2025-06-27,1674425.6386625366
2025-06-30,1686034.8834994507
2025-07-01,1685035.5926669312
2025-07-02,1705619.4619957886
2025-07-03,1706466.770345398
2025-07-07,1695892.8531536255
2025-07-08,1697504.690220276
2025-07-09,1707027.776838562
2025-07-10,1715030.2718641968
2025-07-11,1723484.8760512085
