date,equity
2021-01-04,1000000.0
2021-01-05,1000000.0
2021-01-06,1000000.0
2021-01-07,999000.0523154144
2021-01-08,979489.071373642
2021-01-11,985643.9888564987
2021-01-12,991167.0432159348
2021-01-13,986375.7092620773
2021-01-14,997865.5671951218
2021-01-15,982060.4157430344
2021-01-19,1002571.438089531
2021-01-20,1008925.8830845795
2021-01-21,1016086.7133000336
2021-01-22,1002704.4560139923
2021-01-25,1005051.6432774811
2021-01-26,995413.8007863312
2021-01-27,968900.487669449
2021-01-28,979097.1197495271
2021-01-29,970232.1642534332
2021-02-01,993214.3753435211
2021-02-02,993609.4821073303
2021-02-03,983858.9634458313
2021-02-04,978157.9056297913
2021-02-05,979769.9573265687
2021-02-08,1000510.9262038422
2021-02-09,1000787.0631667328
2021-02-10,1003922.6492263031
2021-02-11,1017152.298030014
2021-02-12,1020665.6235393524
2021-02-16,1016050.8301280976
2021-02-17,1000560.6764615326
2021-02-18,995424.6231625824
2021-02-19,1007846.6116574097
2021-02-22,998007.6101315308
2021-02-23,992276.2020737305
2021-02-24,1007227.154298462
2021-02-25,970112.7093473816
2021-02-26,967518.1756941223
2021-03-01,980926.6773547746
2021-03-02,969231.7493610001
2021-03-03,949175.3656975479
2021-03-04,922207.9654747696
2021-03-05,936411.6064206162
2021-03-08,906672.9805584946
2021-03-09,942078.8570628586
2021-03-10,935396.6875682297
2021-03-11,953577.5118017044
2021-03-12,947769.4828710404
2021-03-15,959694.5437339555
2021-03-16,965193.916307808
2021-03-17,973135.9484885941
2021-03-18,951379.3192923737
2021-03-19,958646.5762656403
2021-03-22,968924.9166129304
2021-03-23,953458.1581792451
2021-03-24,947326.4610967255
2021-03-25,947160.3477464447
2021-03-26,971357.4021898041
2021-03-29,957817.5108894653
2021-03-30,947335.1233391113
2021-03-31,967891.9653876954
2021-04-01,992158.6719611817
2021-04-05,999979.5541426544
2021-04-06,997584.4492995148
2021-04-07,995014.2501532517
2021-04-08,1007426.1353613816
2021-04-09,1002353.15818853
2021-04-12,993602.0466162644
2021-04-13,996313.1636054001
2021-04-14,989489.8773962937
2021-04-15,1003898.7611720352
2021-04-16,1005173.6114299088
2021-04-19,991822.6187486496
2021-04-20,986985.5554399338
2021-04-21,1004490.4717139588
2021-04-22,990442.0082358704
2021-04-23,999285.9073044129
2021-04-26,1008858.0575577088
