symbol,side,entry_ts,exit_ts,entry_px,exit_px,qty,gross_pnl,cost,net_pnl,return_pct,hold_days
SMH,LONG,2021-01-07 16:00:00,2021-01-11 16:00:00,112.14816284179688,113.4192123413086,109,138.54439544677734,24.5868438949585,113.95755155181885,1.133366314082851,4.0
SMH,LONG,2021-01-07 16:00:00,2021-01-15 16:00:00,112.14816284179688,113.88978576660156,32,55.73193359375,7.23321435546875,48.498719238281254,1.5529660769044717,8.0
SMH,LONG,2021-01-07 16:00:00,2021-01-20 16:00:00,112.14816284179688,117.30997467041016,11,56.779930114746094,2.5240395126342774,54.25589060211182,4.602671767253863,13.0
SMH,LONG,2021-01-07 16:00:00,2021-01-22 16:00:00,112.14816284179688,116.883056640625,11,52.083831787109375,2.5193434143066407,49.564488372802735,4.221998540901173,15.0
GLD,LONG,2021-01-07 16:00:00,2021-01-27 16:00:00,179.47999572753906,172.52000427246094,78,-542.8793334960938,27.456,-570.3353334960938,-3.8778647318689408,20.0
SMH,LONG,2021-01-07 16:00:00,2021-01-29 16:00:00,112.14816284179688,109.93596649169922,4,-8.848785400390625,0.8883365173339844,-9.73712191772461,-1.9725658397260704,22.0
SMH,LONG,2021-01-07 16:00:00,2021-02-02 16:00:00,112.14816284179688,115.80606842041016,118,431.6328582763672,26.89859928894043,404.73425898742676,3.2616723144839543,26.0
SMH,LONG,2021-01-07 16:00:00,2021-02-04 16:00:00,112.14816284179688,114.94253540039062,34,95.0086669921875,7.721083740234375,87.28758325195312,2.491679299763172,28.0
SMH,LONG,2021-01-07 16:00:00,2021-02-08 16:00:00,112.14816284179688,117.92124938964844,12,69.27703857421875,2.7608329467773434,66.51620562744141,5.147731716296988,32.0
SMH,LONG,2021-01-07 16:00:00,2021-02-12 16:00:00,112.14816284179688,123.49542236328125,105,1191.4622497558594,24.7425764465332,1166.7196733093263,10.118096662440678,36.0
SMH,LONG,2021-01-07 16:00:00,2021-02-17 16:00:00,112.14816284179688,121.8459701538086,26,252.1429901123047,6.083847457885742,246.05914265441893,8.647317143921507,41.0
SMH,LONG,2021-01-07 16:00:00,2021-02-19 16:00:00,112.14816284179688,123.15583801269531,13,143.0997772216797,3.0589520111083983,140.04082521057128,9.815296917905414,43.0
GLD,LONG,2021-01-07 16:00:00,2021-02-23 16:00:00,179.47999572753906,169.1199951171875,87,-901.3200531005859,30.32819920349121,-931.6482523040771,-5.772231366708214,47.0
GLD,LONG,2021-01-07 16:00:00,2021-02-25 16:00:00,179.47999572753906,165.82000732421875,9,-122.93989562988281,3.10770002746582,-126.04759565734864,-7.610869583514457,49.0
SMH,LONG,2021-01-07 16:00:00,2021-03-01 16:00:00,112.14816284179688,120.40998077392578,155,1280.5817794799805,36.04651226043701,1244.5352672195434,7.3668776400586555,53.0
